Eolienne;;;;Solaire;;Surplus
 local_time in Europe/Paris; electricity in kW; wind_speed in m/s; electricity in kW; electricity in W;;
" ""local_time"": ""Europe/Paris""";" ""electricity"": ""kW""";" ""wind_speed"": ""m/s""}";" ""electricity"": ""kW""";" ""electricity"": ""W""";;
local_time;electricity;wind_speed;electricity;electricity;Puissance consommée (kW);
01/01/2019 01:00;27 862;6 505;0;0;30;
01/01/2019 02:00;28 532;6 560;0;0;30;
01/01/2019 03:00;26 972;6 430;0;0;30;
01/01/2019 04:00;22 973;6 076;0;0;30;
01/01/2019 05:00;20 624;5 862;0;0;33;
01/01/2019 06:00;18 829;5 686;0;0;35;
01/01/2019 07:00;16 744;5 467;0;0;40;
01/01/2019 08:00;15 499;5 334;1,513;27;45;
01/01/2019 09:00;13 001;5 034;14,101;246;50;
01/01/2019 10:00;9 931;4 633;23,34;406;45;
01/01/2019 11:00;8 561;4 443;28,785;501;40;
01/01/2019 12:00;8 818;4 482;30,993;539;35;
01/01/2019 13:00;9 314;4 555;30,325;527;36;
01/01/2019 14:00;9 618;4 598;26,683;464;36;
01/01/2019 15:00;9 038;4 514;20,043;349;36;
01/01/2019 16:00;8 264;4 388;9,231;161;35;
01/01/2019 17:00;10 697;4 748;0;0;40;
01/01/2019 18:00;15 956;5 385;0;0;47;
01/01/2019 19:00;20 440;5 844;0;0;50;
01/01/2019 20:00;24 866;6 242;0;0;47;
01/01/2019 21:00;28 791;6 576;0;0;40;
01/01/2019 22:00;32 646;6 885;0;0;35;
01/01/2019 23:00;37 355;7 240;0;0;28;
02/01/2019 00:00;40 731;7 499;0;0;30;
02/01/2019 01:00;44 206;7 752;0;0;30;
02/01/2019 02:00;46 022;7 886;0;0;30;
02/01/2019 03:00;45 391;7 840;0;0;30;
02/01/2019 04:00;48 389;8 049;0;0;30;
02/01/2019 05:00;49 797;8 154;0;0;33;
02/01/2019 06:00;50 104;8 182;0;0;35;
02/01/2019 07:00;50 320;8 198;0;0;40;
02/01/2019 08:00;51 032;8 250;1.803;32;45;
02/01/2019 09:00;52 534;8 350;15.384;269;50;
02/01/2019 10:00;55 644;8 583;25.12;438;45;
02/01/2019 11:00;54 949;8 529;30.932;538;40;
02/01/2019 12:00;53 363;8 415;33.942;590;35;
02/01/2019 13:00;51 495;8 277;32.774;570;36;
02/01/2019 14:00;49 385;8 126;30.54;531;36;
02/01/2019 15:00;45 942;7 879;24.072;420;36;
02/01/2019 16:00;42 406;7 616;12.074;211;35;
02/01/2019 17:00;45 081;7 817;0;0;40;
02/01/2019 18:00;46 355;7 909;0;0;47;
02/01/2019 19:00;46 234;7 896;0;0;50;
02/01/2019 20:00;46 630;7 924;0;0;47;
02/01/2019 21:00;46 771;7 940;0;0;40;
02/01/2019 22:00;44 804;7 797;0;0;35;
02/01/2019 23:00;42 731;7 638;0;0;28;
03/01/2019 00:00;40 900;7 506;0;0;30;
03/01/2019 01:00;38 566;7 338;0;0;30;
03/01/2019 02:00;36 164;7 159;0;0;30;
03/01/2019 03:00;34 325;7 018;0;0;30;
03/01/2019 04:00;32 867;6 907;0;0;30;
