local_time;wind_electricity_kW;wind_speed_m_s;solar_electricity_kW;solar_electricity_W;consommation_kW
01/01/2019 01:00;27.862;6505;0;0;30
01/01/2019 02:00;28.532;6560;0;0;30
01/01/2019 03:00;26.972;6430;0;0;30
01/01/2019 04:00;22.973;6076;0;0;30
01/01/2019 05:00;20.624;5862;0;0;33
01/01/2019 06:00;18.829;5686;0;0;35
01/01/2019 07:00;16.744;5467;0;0;40
01/01/2019 08:00;15.499;5334;1.513;27;45
01/01/2019 09:00;13.001;5034;14.101;246;50
01/01/2019 10:00;9.931;4633;23.34;406;45
01/01/2019 11:00;8.561;4443;28.785;501;40
01/01/2019 12:00;8.818;4482;30.993;539;35
01/01/2019 13:00;9.314;4555;30.325;527;36
01/01/2019 14:00;9.618;4598;26.683;464;36
01/01/2019 15:00;9.038;4514;20.043;349;36
01/01/2019 16:00;8.264;4388;9.231;161;35
01/01/2019 17:00;10.697;4748;0;0;40
01/01/2019 18:00;15.956;5385;0;0;47
01/01/2019 19:00;20.44;5844;0;0;50
01/01/2019 20:00;24.866;6242;0;0;47
01/01/2019 21:00;28.791;6576;0;0;40
01/01/2019 22:00;32.646;6885;0;0;35
01/01/2019 23:00;37.355;7240;0;0;28
02/01/2019 00:00;40.731;7499;0;0;30
02/01/2019 01:00;44.206;7752;0;0;30
02/01/2019 02:00;46.022;7886;0;0;30
02/01/2019 03:00;45.391;7840;0;0;30
02/01/2019 04:00;48.389;8049;0;0;30
02/01/2019 05:00;49.797;8154;0;0;33
02/01/2019 06:00;50.104;8182;0;0;35
02/01/2019 07:00;50.32;8198;0;0;40
02/01/2019 08:00;51.032;8250;1.803;32;45
02/01/2019 09:00;52.534;8350;15.384;269;50
02/01/2019 10:00;55.644;8583;25.12;438;45
02/01/2019 11:00;54.949;8529;30.932;538;40
02/01/2019 12:00;53.363;8415;33.942;590;35
02/01/2019 13:00;51.495;8277;32.774;570;36
02/01/2019 14:00;49.385;8126;30.54;531;36
02/01/2019 15:00;45.942;7879;24.072;420;36
02/01/2019 16:00;42.406;7616;12.074;211;35
02/01/2019 17:00;45.081;7817;0;0;40
02/01/2019 18:00;46.355;7909;0;0;47
02/01/2019 19:00;46.234;7896;0;0;50
02/01/2019 20:00;46.63;7924;0;0;47
02/01/2019 21:00;46.771;7940;0;0;40
02/01/2019 22:00;44.804;7797;0;0;35
02/01/2019 23:00;42.731;7638;0;0;28
03/01/2019 00:00;40.9;7506;0;0;30
03/01/2019 01:00;38.566;7338;0;0;30
03/01/2019 02:00;36.164;7159;0;0;30
03/01/2019 03:00;34.325;7018;0;0;30
03/01/2019 04:00;32.867;6907;0;0;30
03/01/2019 05:00;31.042;6754;0;0;33
03/01/2019 06:00;29.573;6645;0;0;35
03/01/2019 07:00;27.959;6513;0;0;40
03/01/2019 08:00;27.907;6509;2.751;49;45
03/01/2019 09:00;22.744;6059;18.932;331;50
03/01/2019 10:00;17.752;5566;28.62;499;45
03/01/2019 11:00;22.265;6008;34.108;593;40
03/01/2019 12:00;24.524;6212;36.319;631;35
03/01/2019 13:00;25.292;6287;35.481;617;36
03/01/2019 14:00;24.87;6248;31.616;550;36
03/01/2019 15:00;21.676;5952;24.162;421;36
03/01/2019 16:00;18.649;5667;12.003;210;35
03/01/2019 17:00;22.305;6014;0;0;40
03/01/2019 18:00;27.799;6494;0;0;47
03/01/2019 19:00;27.533;6474;0;0;50
03/01/2019 20:00;27.44;6465;0;0;47
03/01/2019 21:00;27.875;6506;0;0;40
03/01/2019 22:00;28.976;6593;0;0;35
03/01/2019 23:00;28.995;6594;0;0;28
04/01/2019 00:00;28.062;6522;0;0;30
04/01/2019 01:00;28.025;6518;0;0;30
04/01/2019 02:00;28.722;6573;0;0;30
04/01/2019 03:00;29.135;6606;0;0;30
04/01/2019 04:00;27.8;6496;0;0;30
04/01/2019 05:00;25.904;6332;0;0;33
04/01/2019 06:00;25.384;6295;0;0;35
04/01/2019 07:00;25.909;6339;0;0;40
04/01/2019 08:00;25.436;6299;2.5;44;45
04/01/2019 09:00;18.976;5695;16.742;293;50
04/01/2019 10:00;12.345;4962;26.38;460;45
04/01/2019 11:00;14.443;5215;32.992;574;40
04/01/2019 12:00;16.257;5417;35.711;621;35
04/01/2019 13:00;16.743;5465;34.469;599;36
04/01/2019 14:00;16.238;5415;29.749;518;36
04/01/2019 15:00;12.595;4994;18.501;322;36
04/01/2019 16:00;10.296;4693;5.465;95;35
04/01/2019 17:00;13.546;5109;0;0;40
04/01/2019 18:00;17.542;5545;0;0;47
04/01/2019 19:00;19.829;5778;0;0;50
04/01/2019 20:00;21.979;5982;0;0;47
04/01/2019 21:00;23.484;6127;0;0;40
04/01/2019 22:00;24.866;6243;0;0;35
04/01/2019 23:00;27.981;6515;0;0;28
05/01/2019 00:00;31.3;6784;0;0;30
05/01/2019 01:00;34.546;7037;0;0;30
05/01/2019 02:00;35.241;7089;0;0;30
05/01/2019 03:00;36.955;7220;0;0;30
05/01/2019 04:00;38.562;7332;0;0;30
05/01/2019 05:00;41.699;7571;0;0;33
05/01/2019 06:00;43.972;7733;0;0;35
05/01/2019 07:00;44.956;7808;0;0;40
05/01/2019 08:00;45.664;7852;2.781;49;45
05/01/2019 09:00;42.231;7608;18.675;326;50
05/01/2019 10:00;42.942;7652;28.121;490;45
05/01/2019 11:00;53.757;8442;33.265;579;40
05/01/2019 12:00;60.337;8947;35.158;611;35
05/01/2019 13:00;62.837;9142;33.937;590;36
05/01/2019 14:00;62.423;9110;29.912;520;36
05/01/2019 15:00;59.518;8883;22.368;390;36
05/01/2019 16:00;58.955;8830;10.38;182;35
05/01/2019 17:00;58.865;8827;0;0;40
05/01/2019 18:00;60.3;8944;0;0;47
05/01/2019 19:00;61.472;9028;0;0;50
05/01/2019 20:00;60.144;8932;0;0;47
05/01/2019 21:00;61.477;9028;0;0;40
05/01/2019 22:00;62.166;9090;0;0;35
05/01/2019 23:00;63.467;9187;0;0;28
06/01/2019 00:00;64.463;9275;0;0;30
06/01/2019 01:00;63.995;9233;0;0;30
06/01/2019 02:00;63.348;9182;0;0;30
06/01/2019 03:00;62.554;9121;0;0;30
06/01/2019 04:00;61.279;9012;0;0;30
06/01/2019 05:00;59.515;8883;0;0;33
06/01/2019 06:00;57.135;8701;0;0;35
06/01/2019 07:00;54.703;8510;0;0;40
06/01/2019 08:00;54.434;8494;2.767;49;45
06/01/2019 09:00;51.032;8247;17.939;313;50
06/01/2019 10:00;47.765;8006;27.624;481;45
06/01/2019 11:00;51.579;8287;34.293;597;40
06/01/2019 12:00;56.189;8631;36.398;633;35
06/01/2019 13:00;58.561;8808;35.326;614;36
06/01/2019 14:00;59.032;8846;31.522;548;36
06/01/2019 15:00;55.426;8567;24.242;422;36
06/01/2019 16:00;51.58;8289;12.032;210;35
06/01/2019 17:00;53.486;8420;0;0;40
