"local_time";"wind_electricity_kW";"wind_speed_m_s";"solar_electricity_kW";"solar_electricity_W";"consommation_kW";"solar_1136_panneaux_kWh";"bilan_horaire_kWh";"energie_stockee_batteries_kWh";"etat_batterie_pct";"energie_non_servie_kWh";"energie_ecretee_kWh"
"01/01/2019 01:00";"27.862";"6505";"0";"0";"30";"0";"-2.138";"2261.542";"89.91";"0";"0"
"01/01/2019 02:00";"28.532";"6560";"0";"0";"30";"0";"-1.468";"2260.074";"89.86";"0";"0"
"01/01/2019 03:00";"26.972";"6430";"0";"0";"30";"0";"-3.028";"2257.046";"89.74";"0";"0"
"01/01/2019 04:00";"22.973";"6076";"0";"0";"30";"0";"-7.027";"2250.019";"89.46";"0";"0"
"01/01/2019 05:00";"20.624";"5862";"0";"0";"33";"0";"-12.376";"2237.643";"88.96";"0";"0"
"01/01/2019 06:00";"18.829";"5686";"0";"0";"35";"0";"-16.171";"2221.472";"88.32";"0";"0"
"01/01/2019 07:00";"16.744";"5467";"0";"0";"40";"0";"-23.256";"2198.216";"87.4";"0";"0"
"01/01/2019 08:00";"15.499";"5334";"1.513";"27";"45";"5.926786";"-23.574214";"2174.641786";"86.46";"0";"0"
"01/01/2019 09:00";"13.001";"5034";"14.101";"246";"50";"55.237021";"18.238021";"2192.879807";"87.19";"0";"0"
"01/01/2019 10:00";"9.931";"4633";"23.34";"406";"45";"91.428414";"56.359414";"2249.239221";"89.43";"0";"0"
"01/01/2019 11:00";"8.561";"4443";"28.785";"501";"40";"112.757793";"81.318793";"2263.68";"90";"0";"66.878014"
"01/01/2019 12:00";"8.818";"4482";"30.993";"539";"35";"121.407062";"95.225062";"2263.68";"90";"0";"95.225062"
"01/01/2019 13:00";"9.314";"4555";"30.325";"527";"36";"118.790345";"92.104345";"2263.68";"90";"0";"92.104345"
"01/01/2019 14:00";"9.618";"4598";"26.683";"464";"36";"104.523752";"78.141752";"2263.68";"90";"0";"78.141752"
"01/01/2019 15:00";"9.038";"4514";"20.043";"349";"36";"78.513269";"51.551269";"2263.68";"90";"0";"51.551269"
"01/01/2019 16:00";"8.264";"4388";"9.231";"161";"35";"36.160055";"9.424055";"2263.68";"90";"0";"9.424055"
"01/01/2019 17:00";"10.697";"4748";"0";"0";"40";"0";"-29.303";"2234.377";"88.83";"0";"0"
"01/01/2019 18:00";"15.956";"5385";"0";"0";"47";"0";"-31.044";"2203.333";"87.6";"0";"0"
"01/01/2019 19:00";"20.44";"5844";"0";"0";"50";"0";"-29.56";"2173.773";"86.43";"0";"0"
"01/01/2019 20:00";"24.866";"6242";"0";"0";"47";"0";"-22.134";"2151.639";"85.55";"0";"0"
"01/01/2019 21:00";"28.791";"6576";"0";"0";"40";"0";"-11.209";"2140.43";"85.1";"0";"0"
"01/01/2019 22:00";"32.646";"6885";"0";"0";"35";"0";"-2.354";"2138.076";"85.01";"0";"0"
"01/01/2019 23:00";"37.355";"7240";"0";"0";"28";"0";"9.355";"2147.431";"85.38";"0";"0"
"02/01/2019 00:00";"40.731";"7499";"0";"0";"30";"0";"10.731";"2158.162";"85.8";"0";"0"
"02/01/2019 01:00";"44.206";"7752";"0";"0";"30";"0";"14.206";"2172.368";"86.37";"0";"0"
"02/01/2019 02:00";"46.022";"7886";"0";"0";"30";"0";"16.022";"2188.39";"87.01";"0";"0"
"02/01/2019 03:00";"45.391";"7840";"0";"0";"30";"0";"15.391";"2203.781";"87.62";"0";"0"
"02/01/2019 04:00";"48.389";"8049";"0";"0";"30";"0";"18.389";"2222.17";"88.35";"0";"0"
"02/01/2019 05:00";"49.797";"8154";"0";"0";"33";"0";"16.797";"2238.967";"89.02";"0";"0"
"02/01/2019 06:00";"50.104";"8182";"0";"0";"35";"0";"15.104";"2254.071";"89.62";"0";"0"
"02/01/2019 07:00";"50.32";"8198";"0";"0";"40";"0";"10.32";"2263.68";"90";"0";"0.711"
"02/01/2019 08:00";"51.032";"8250";"1.803";"32";"45";"7.062786";"13.094786";"2263.68";"90";"0";"13.094786"
"02/01/2019 09:00";"52.534";"8350";"15.384";"269";"50";"60.262841";"62.796841";"2263.68";"90";"0";"62.796841"
"02/01/2019 10:00";"55.644";"8583";"25.12";"438";"45";"98.401103";"109.045103";"2263.68";"90";"0";"109.045103"
"02/01/2019 11:00";"54.949";"8529";"30.932";"538";"40";"121.16811";"136.11711";"2263.68";"90";"0";"136.11711"
"02/01/2019 12:00";"53.363";"8415";"33.942";"590";"35";"132.959007";"151.322007";"2263.68";"90";"0";"151.322007"
"02/01/2019 13:00";"51.495";"8277";"32.774";"570";"36";"128.383669";"143.878669";"2263.68";"90";"0";"143.878669"
"02/01/2019 14:00";"49.385";"8126";"30.54";"531";"36";"119.632552";"133.017552";"2263.68";"90";"0";"133.017552"
"02/01/2019 15:00";"45.942";"7879";"24.072";"420";"36";"94.295834";"104.237834";"2263.68";"90";"0";"104.237834"
"02/01/2019 16:00";"42.406";"7616";"12.074";"211";"35";"47.296772";"54.702772";"2263.68";"90";"0";"54.702772"
"02/01/2019 17:00";"45.081";"7817";"0";"0";"40";"0";"5.081";"2263.68";"90";"0";"5.081"
"02/01/2019 18:00";"46.355";"7909";"0";"0";"47";"0";"-0.645";"2263.035";"89.97";"0";"0"
"02/01/2019 19:00";"46.234";"7896";"0";"0";"50";"0";"-3.766";"2259.269";"89.82";"0";"0"
"02/01/2019 20:00";"46.63";"7924";"0";"0";"47";"0";"-0.37";"2258.899";"89.81";"0";"0"
"02/01/2019 21:00";"46.771";"7940";"0";"0";"40";"0";"6.771";"2263.68";"90";"0";"1.99"
"02/01/2019 22:00";"44.804";"7797";"0";"0";"35";"0";"9.804";"2263.68";"90";"0";"9.804"
"02/01/2019 23:00";"42.731";"7638";"0";"0";"28";"0";"14.731";"2263.68";"90";"0";"14.731"
"03/01/2019 00:00";"40.9";"7506";"0";"0";"30";"0";"10.9";"2263.68";"90";"0";"10.9"
"03/01/2019 01:00";"38.566";"7338";"0";"0";"30";"0";"8.566";"2263.68";"90";"0";"8.566"
"03/01/2019 02:00";"36.164";"7159";"0";"0";"30";"0";"6.164";"2263.68";"90";"0";"6.164"
"03/01/2019 03:00";"34.325";"7018";"0";"0";"30";"0";"4.325";"2263.68";"90";"0";"4.325"
"03/01/2019 04:00";"32.867";"6907";"0";"0";"30";"0";"2.867";"2263.68";"90";"0";"2.867"
"03/01/2019 05:00";"31.042";"6754";"0";"0";"33";"0";"-1.958";"2261.722";"89.92";"0";"0"
