# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 42.772, 2.700 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Paris, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Paris", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "42.7719102", "lon": "2.6995277", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "58.2", "system_loss": "0.15", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 01:00,0,0,0,5.570
2019-01-01 01:00,2019-01-01 02:00,0,0,0,5.329
2019-01-01 02:00,2019-01-01 03:00,0,0,0,4.947
2019-01-01 03:00,2019-01-01 04:00,0,0,0,4.507
2019-01-01 04:00,2019-01-01 05:00,0,0,0,4.142
2019-01-01 05:00,2019-01-01 06:00,0,0,0,3.965
2019-01-01 06:00,2019-01-01 07:00,0,0,0,3.746
2019-01-01 07:00,2019-01-01 08:00,1.574,0.039,0.012,3.720
2019-01-01 08:00,2019-01-01 09:00,14.667,0.262,0.053,5.270
2019-01-01 09:00,2019-01-01 10:00,24.277,0.457,0.072,7.346
2019-01-01 10:00,2019-01-01 11:00,29.941,0.587,0.081,8.898
2019-01-01 11:00,2019-01-01 12:00,32.237,0.645,0.086,10.032
2019-01-01 12:00,2019-01-01 13:00,31.543,0.630,0.085,10.566
2019-01-01 13:00,2019-01-01 14:00,27.754,0.541,0.079,10.536
2019-01-01 14:00,2019-01-01 15:00,20.847,0.390,0.067,9.765
2019-01-01 15:00,2019-01-01 16:00,9.602,0.173,0.042,8.044
2019-01-01 16:00,2019-01-01 17:00,0,0.004,0.002,5.824
2019-01-01 17:00,2019-01-01 18:00,0,0,0,4.484
2019-01-01 18:00,2019-01-01 19:00,0,0,0,3.769
2019-01-01 19:00,2019-01-01 20:00,0,0,0,3.231
2019-01-01 20:00,2019-01-01 21:00,0,0,0,2.822
2019-01-01 21:00,2019-01-01 22:00,0,0,0,2.493
2019-01-01 22:00,2019-01-01 23:00,0,0,0,2.300
2019-01-01 23:00,2019-01-02 00:00,0,0,0,2.310
2019-01-02 00:00,2019-01-02 01:00,0,0,0,2.392
2019-01-02 01:00,2019-01-02 02:00,0,0,0,2.744
2019-01-02 02:00,2019-01-02 03:00,0,0,0,3.058
2019-01-02 03:00,2019-01-02 04:00,0,0,0,3.093
2019-01-02 04:00,2019-01-02 05:00,0,0,0,3.057
2019-01-02 05:00,2019-01-02 06:00,0,0,0,2.988
2019-01-02 06:00,2019-01-02 07:00,0,0,0,2.938
2019-01-02 07:00,2019-01-02 08:00,1.875,0.046,0.012,2.917
2019-01-02 08:00,2019-01-02 09:00,16.002,0.292,0.049,3.809
2019-01-02 09:00,2019-01-02 10:00,26.129,0.501,0.063,5.021
2019-01-02 10:00,2019-01-02 11:00,32.175,0.645,0.070,6.352
2019-01-02 11:00,2019-01-02 12:00,35.305,0.729,0.070,7.491
2019-01-02 12:00,2019-01-02 13:00,34.090,0.699,0.071,7.965
2019-01-02 13:00,2019-01-02 14:00,31.766,0.650,0.060,7.917
2019-01-02 14:00,2019-01-02 15:00,25.038,0.497,0.050,7.409
2019-01-02 15:00,2019-01-02 16:00,12.558,0.238,0.035,6.254
2019-01-02 16:00,2019-01-02 17:00,0,0.005,0.002,4.684
2019-01-02 17:00,2019-01-02 18:00,0,0,0,3.917
2019-01-02 18:00,2019-01-02 19:00,0,0,0,3.431
2019-01-02 19:00,2019-01-02 20:00,0,0,0,2.907
2019-01-02 20:00,2019-01-02 21:00,0,0,0,2.389
2019-01-02 21:00,2019-01-02 22:00,0,0,0,1.829
2019-01-02 22:00,2019-01-02 23:00,0,0,0,1.318
2019-01-02 23:00,2019-01-03 00:00,0,0,0,0.960
2019-01-03 00:00,2019-01-03 01:00,0,0,0,0.737
2019-01-03 01:00,2019-01-03 02:00,0,0,0,0.559
2019-01-03 02:00,2019-01-03 03:00,0,0,0,0.392
2019-01-03 03:00,2019-01-03 04:00,0,0,0,0.333
2019-01-03 04:00,2019-01-03 05:00,0,0,0,0.285
2019-01-03 05:00,2019-01-03 06:00,0,0,0,0.261
2019-01-03 06:00,2019-01-03 07:00,0,0,0,0.146
2019-01-03 07:00,2019-01-03 08:00,2.861,0.066,0.011,0.337
2019-01-03 08:00,2019-01-03 09:00,19.693,0.377,0.039,2.284
2019-01-03 09:00,2019-01-03 10:00,29.769,0.600,0.048,4.403
2019-01-03 10:00,2019-01-03 11:00,35.478,0.744,0.054,6.148
2019-01-03 11:00,2019-01-03 12:00,37.777,0.808,0.057,7.275
2019-01-03 12:00,2019-01-03 13:00,36.906,0.787,0.057,7.862
2019-01-03 13:00,2019-01-03 14:00,32.886,0.685,0.054,7.914
2019-01-03 14:00,2019-01-03 15:00,25.132,0.500,0.048,7.366
2019-01-03 15:00,2019-01-03 16:00,12.485,0.236,0.035,5.726
2019-01-03 16:00,2019-01-03 17:00,0,0.006,0.002,2.903
2019-01-03 17:00,2019-01-03 18:00,0,0,0,2.240
2019-01-03 18:00,2019-01-03 19:00,0,0,0,2.134
2019-01-03 19:00,2019-01-03 20:00,0,0,0,1.639
2019-01-03 20:00,2019-01-03 21:00,0,0,0,1.274
2019-01-03 21:00,2019-01-03 22:00,0,0,0,1.034
2019-01-03 22:00,2019-01-03 23:00,0,0,0,0.780
