"panels";"annual_balance_kWh";"required_usable_battery_kWh";"batteries";"nominal_battery_capacity_kWh";"usable_battery_capacity_kWh";"objective_equal_count"
"582";"76.976641";"27445.808269";"16337";"39208.8";"27446.16";"16919"
"583";"358.676962";"27303.998403";"16253";"39007.2";"27305.04";"16836"
"584";"640.377283";"27162.188538";"16168";"38803.2";"27162.24";"16752"
"585";"922.077603";"27020.378672";"16084";"38601.6";"27021.12";"16669"
"586";"1203.777924";"26878.568807";"16000";"38400";"26880";"16586"
"587";"1485.478245";"26736.758941";"15915";"38196";"26737.2";"16502"
"588";"1767.178566";"26594.949076";"15831";"37994.4";"26596.08";"16419"
"589";"2048.878886";"26453.13921";"15746";"37790.4";"26453.28";"16335"
"590";"2330.579207";"26311.329345";"15662";"37588.8";"26312.16";"16252"
"591";"2612.279528";"26169.519479";"15578";"37387.2";"26171.04";"16169"
"592";"2893.979848";"26027.709614";"15493";"37183.2";"26028.24";"16085"
"593";"3175.680169";"25885.899748";"15409";"36981.6";"25887.12";"16002"
"594";"3457.38049";"25744.089883";"15324";"36777.6";"25744.32";"15918"
"595";"3739.08081";"25602.280017";"15240";"36576";"25603.2";"15835"
"596";"4020.781131";"25460.470152";"15156";"36374.4";"25462.08";"15752"
"597";"4302.481452";"25318.660286";"15071";"36170.4";"25319.28";"15668"
"598";"4584.181772";"25176.850421";"14987";"35968.8";"25178.16";"15585"
"599";"4865.882093";"25035.040555";"14902";"35764.8";"25035.36";"15501"
"600";"5147.582414";"24893.23069";"14818";"35563.2";"24894.24";"15418"
"601";"5429.282734";"24751.420824";"14733";"35359.2";"24751.44";"15334"
"602";"5710.983055";"24609.610959";"14649";"35157.6";"24610.32";"15251"
"603";"5992.683376";"24467.801093";"14565";"34956";"24469.2";"15168"
"604";"6274.383697";"24325.991228";"14480";"34752";"24326.4";"15084"
"605";"6556.084017";"24184.181362";"14396";"34550.4";"24185.28";"15001"
"606";"6837.784338";"24042.371497";"14311";"34346.4";"24042.48";"14917"
"607";"7119.484659";"23900.561631";"14227";"34144.8";"23901.36";"14834"
"608";"7401.184979";"23758.751766";"14143";"33943.2";"23760.24";"14751"
"609";"7682.8853";"23616.9419";"14058";"33739.2";"23617.44";"14667"
"610";"7964.585621";"23475.132034";"13974";"33537.6";"23476.32";"14584"
"611";"8246.285941";"23333.322169";"13889";"33333.6";"23333.52";"14500"
"612";"8527.986262";"23191.512303";"13805";"33132";"23192.4";"14417"
"613";"8809.686583";"23049.702438";"13721";"32930.4";"23051.28";"14334"
"614";"9091.386903";"22907.892572";"13636";"32726.4";"22908.48";"14250"
