panels;period_balance_kWh;required_usable_battery_kWh;batteries;nominal_battery_capacity_kWh;usable_battery_capacity_kWh;panel_cost_EUR;battery_cost_EUR;total_cost_EUR
0;-3917.0549999999994;3944.8830000000007;2349;5637.599999999999;3946.3199999999997;0.0;1057026.51;1057026.51
1;-3910.998720689655;3942.56542413793;2347;5632.8;3942.96;139.66;1056126.53;1056266.19
2;-3904.9424413793095;3940.247848275863;2346;5630.4;3941.2799999999997;279.32;1055676.54;1055955.86
3;-3898.886162068966;3937.9302724137924;2345;5628.0;3939.6;418.98;1055226.55;1055645.53
4;-3892.8298827586204;3935.6126965517237;2343;5623.2;3936.24;558.64;1054326.57;1054885.21
5;-3886.773603448276;3933.295120689657;2342;5620.8;3934.56;698.3;1053876.58;1054574.8800000001
6;-3880.717324137931;3930.977544827586;2340;5616.0;3931.2;837.96;1052976.6;1053814.56
7;-3874.6610448275865;3928.6599689655163;2339;5613.599999999999;3929.52;977.62;1052526.61;1053504.2300000002
8;-3868.6047655172415;3926.3423931034476;2338;5611.2;3927.8399999999997;1117.28;1052076.62;1053193.9000000001
9;-3862.548486206896;3924.024817241379;2336;5606.4;3924.48;1256.94;1051176.6400000001;1052433.58
10;-3856.4922068965516;3921.7072413793094;2335;5604.0;3922.7999999999997;1396.6;1050726.65;1052123.25
11;-3850.4359275862066;3919.389665517242;2333;5599.2;3919.44;1536.26;1049826.67;1051362.93
12;-3844.379648275862;3917.072089655173;2332;5596.8;3917.7599999999998;1675.92;1049376.68;1051052.5999999999
13;-3838.3233689655176;3914.7545137931024;2331;5594.4;3916.08;1815.58;1048926.69;1050742.27
14;-3832.2670896551717;3912.4369379310347;2329;5589.599999999999;3912.72;1955.24;1048026.7100000001;1049981.9500000002
15;-3826.210810344828;3910.1193620689655;2328;5587.2;3911.04;2094.9;1047576.72;1049671.6199999999
16;-3820.1545310344827;3907.8017862068964;2327;5584.8;3909.3599999999997;2234.56;1047126.73;1049361.29
17;-3814.0982517241378;3905.484210344827;2325;5580.0;3906.0;2374.22;1046226.75;1048600.97
18;-3808.041972413793;3903.1666344827595;2324;5577.599999999999;3904.3199999999997;2513.88;1045776.76;1048290.64
19;-3801.9856931034483;3900.849058620691;2322;5572.8;3900.96;2653.54;1044876.78;1047530.3200000001
20;-3795.9294137931033;3898.5314827586203;2321;5570.4;3899.2799999999997;2793.2;1044426.79;1047219.99
21;-3789.873134482759;3896.2139068965516;2320;5568.0;3897.6;2932.86;1043976.8;1046909.66
22;-3783.816855172414;3893.896331034481;2318;5563.2;3894.24;3072.52;1043076.8200000001;1046149.3400000001
23;-3777.760575862069;3891.578755172413;2317;5560.8;3892.56;3212.18;1042626.8300000001;1045839.0100000001
24;-3771.704296551724;3889.261179310344;2316;5558.4;3890.8799999999997;3351.84;1042176.84;1045528.6799999999
25;-3765.6480172413785;3886.9436034482746;2314;5553.599999999999;3887.52;3491.5;1041276.86;1044768.36
26;-3759.591737931035;3884.6260275862064;2313;5551.2;3885.8399999999997;3631.16;1040826.87;1044458.03
27;-3753.53545862069;3882.3084517241373;2311;5546.4;3882.48;3770.8199999999997;1039926.89;1043697.71
28;-3747.479179310345;3879.9908758620677;2310;5544.0;3880.7999999999997;3910.48;1039476.9;1043387.38
29;-3741.4228999999996;3877.6732999999995;2309;5541.599999999999;3879.12;4050.14;1039026.91;1043077.05
30;-3735.3666206896555;3875.355724137932;2307;5536.8;3875.7599999999998;4189.8;1038126.93;1042316.7300000001
31;-3729.3103413793106;3873.038148275863;2306;5534.4;3874.08;4329.46;1037676.9400000001;1042006.4
32;-3723.254062068965;3870.7205724137916;2305;5532.0;3872.3999999999996;4469.12;1037226.9500000001;1041696.0700000001
33;-3717.1977827586206;3868.402996551724;2303;5527.2;3869.04;4608.78;1036326.97;1040935.75
34;-3711.141503448275;3866.0854206896543;2302;5524.8;3867.3599999999997;4748.44;1035876.98;1040625.4199999999
35;-3705.0852241379307;3863.767844827585;2300;5520.0;3864.0;4888.099999999999;1034977.0;1039865.1
36;-3699.028944827586;3861.4502689655164;2299;5517.599999999999;3862.3199999999997;5027.76;1034527.01;1039554.77
37;-3692.9726655172417;3859.1326931034496;2298;5515.2;3860.64;5167.42;1034077.02;1039244.4400000001
38;-3686.9163862068967;3856.8151172413795;2296;5510.4;3857.2799999999997;5307.08;1033177.04;1038484.12
39;-3680.8601068965518;3854.4975413793095;2295;5508.0;3855.6;5446.74;1032727.05;1038173.79
40;-3674.8038275862073;3852.1799655172404;2293;5503.2;3852.24;5586.4;1031827.0700000001;1037413.4700000001
41;-3668.7475482758623;3849.862389655172;2292;5500.8;3850.56;5726.0599999999995;1031377.0800000001;1037103.1400000001
42;-3662.6912689655173;3847.5448137931035;2291;5498.4;3848.8799999999997;5865.72;1030927.09;1036792.8099999999
43;-3656.634989655173;3845.227237931035;2289;5493.599999999999;3845.52;6005.38;1030027.11;1036032.49
44;-3650.5787103448274;3842.9096620689647;2288;5491.2;3843.8399999999997;6145.04;1029577.12;1035722.16
45;-3644.522431034483;3840.5920862068974;2287;5488.8;3842.16;6284.7;1029127.13;1035411.83
46;-3638.4661517241375;3838.274510344827;2285;5484.0;3838.7999999999997;6424.36;1028227.15;1034651.51
47;-3632.409872413793;3835.956934482758;2284;5481.599999999999;3837.12;6564.0199999999995;1027777.16;1034341.18
48;-3626.353593103448;3833.639358620689;2282;5476.8;3833.7599999999998;6703.68;1026877.18;1033580.8600000001
49;-3620.297313793103;3831.321782758621;2281;5474.4;3832.08;6843.34;1026427.1900000001;1033270.53
50;-3614.241034482758;3829.004206896552;2280;5472.0;3830.3999999999996;6983.0;1025977.2000000001;1032960.2000000001
51;-3608.1847551724136;3826.6866310344835;2278;5467.2;3827.04;7122.66;1025077.22;1032199.88
52;-3602.128475862069;3824.369055172413;2277;5464.8;3825.3599999999997;7262.32;1024627.23;1031889.5499999999
53;-3596.072196551724;3822.051479310345;2276;5462.4;3823.68;7401.98;1024177.24;1031579.22
54;-3590.0159172413796;3819.7339034482743;2274;5457.599999999999;3820.3199999999997;7541.639999999999;1023277.26;1030818.9
55;-3583.9596379310346;3817.416327586206;2273;5455.2;3818.64;7681.3;1022827.27;1030508.5700000001
56;-3577.9033586206897;3815.098751724138;2271;5450.4;3815.2799999999997;7820.96;1021927.29;1029748.25
57;-3571.847079310345;3812.7811758620687;2270;5448.0;3813.6;7960.62;1021477.3;1029437.92
58;-3565.7907999999998;3810.4635999999996;2269;5445.599999999999;3811.92;8100.28;1021027.31;1029127.5900000001
59;-3559.7345206896553;3808.1460241379295;2267;5440.8;3808.56;8239.94;1020127.3300000001;1028367.27
60;-3553.6782413793103;3805.8284482758613;2266;5438.4;3806.8799999999997;8379.6;1019677.34;1028056.94
61;-3547.621962068966;3803.510872413793;2264;5433.599999999999;3803.52;8519.26;1018777.36;1027296.62
62;-3541.565682758621;3801.193296551724;2263;5431.2;3801.8399999999997;8658.92;1018327.37;1026986.29
63;-3535.5094034482763;3798.875720689655;2262;5428.8;3800.16;8798.58;1017877.38;1026675.96
64;-3529.453124137931;3796.558144827587;2260;5424.0;3796.7999999999997;8938.24;1016977.4;1025915.64
65;-3523.396844827586;3794.2405689655166;2259;5421.599999999999;3795.12;9077.9;1016527.41;1025605.31
66;-3517.340565517241;3791.9229931034483;2258;5419.2;3793.44;9217.56;1016077.42;1025294.9800000001
67;-3511.2842862068965;3789.6054172413787;2256;5414.4;3790.08;9357.22;1015177.4400000001;1024534.66
68;-3505.2280068965524;3787.287841379311;2255;5412.0;3788.3999999999996;9496.88;1014727.4500000001;1024224.3300000001
69;-3499.171727586207;3784.97026551724;2253;5407.2;3785.04;9636.539999999999;1013827.47;1023464.01
70;-3493.1154482758616;3782.6526896551727;2252;5404.8;3783.3599999999997;9776.199999999999;1013377.48;1023153.6799999999
71;-3487.059168965517;3780.3351137931027;2251;5402.4;3781.68;9915.86;1012927.49;1022843.35
72;-3481.002889655172;3778.017537931034;2249;5397.599999999999;3778.3199999999997;10055.52;1012027.51;1022083.03
73;-3474.9466103448276;3775.699962068965;2248;5395.2;3776.64;10195.18;1011577.52;1021772.7000000001
74;-3468.890331034483;3773.3823862068966;2247;5392.8;3774.96;10334.84;1011127.53;1021462.37
75;-3462.8340517241377;3771.0648103448275;2245;5388.0;3771.6;10474.5;1010227.55;1020702.05
76;-3456.777772413793;3768.7472344827574;2244;5385.599999999999;3769.92;10614.16;1009777.56;1020391.7200000001
77;-3450.7214931034487;3766.4296586206883;2242;5380.8;3766.56;10753.82;1008877.5800000001;1019631.4
78;-3444.6652137931032;3764.1120827586196;2241;5378.4;3764.8799999999997;10893.48;1008427.59;1019321.07
79;-3438.6089344827583;3761.7945068965514;2240;5376.0;3763.2;11033.14;1007977.6;1019010.74
80;-3432.5526551724142;3759.4769310344827;2238;5371.2;3759.8399999999997;11172.8;1007077.62;1018250.42
81;-3426.496375862069;3757.1593551724136;2237;5368.8;3758.16;11312.46;1006627.63;1017940.09
82;-3420.4400965517243;3754.8417793103454;2236;5366.4;3756.48;11452.119999999999;1006177.64;1017629.76
83;-3414.38381724138;3752.524203448276;2234;5361.599999999999;3753.12;11591.779999999999;1005277.66;1016869.4400000001
84;-3408.327537931034;3750.206627586206;2233;5359.2;3751.44;11731.44;1004827.67;1016559.11
85;-3402.2712586206894;3747.889051724138;2231;5354.4;3748.08;11871.1;1003927.6900000001;1015798.79
86;-3396.2149793103445;3745.571475862069;2230;5352.0;3746.3999999999996;12010.76;1003477.7000000001;1015488.4600000001
87;-3390.1587;3743.2539;2229;5349.599999999999;3744.72;12150.42;1003027.71;1015178.13
88;-3384.1024206896545;3740.9363241379297;2227;5344.8;3741.3599999999997;12290.08;1002127.73;1014417.8099999999
89;-3378.04614137931;3738.6187482758623;2226;5342.4;3739.68;12429.74;1001677.74;1014107.48
90;-3371.9898620689655;3736.3011724137928;2224;5337.599999999999;3736.3199999999997;12569.4;1000777.76;1013347.16
91;-3365.9335827586206;3733.983596551724;2223;5335.2;3734.64;12709.06;1000327.77;1013036.8300000001
92;-3359.8773034482765;3731.666020689656;2222;5332.8;3732.96;12848.72;999877.78;1012726.5
93;-3353.821024137931;3729.348444827586;2220;5328.0;3729.6;12988.38;998977.8;1011966.18
94;-3347.7647448275857;3727.030868965518;2219;5325.599999999999;3727.92;13128.039999999999;998527.81;1011655.8500000001
95;-3341.708465517241;3724.7132931034475;2218;5323.2;3726.24;13267.699999999999;998077.8200000001;1011345.52
96;-3335.6521862068967;3722.3957172413793;2216;5318.4;3722.8799999999997;13407.36;997177.84;1010585.2
97;-3329.5959068965517;3720.0781413793097;2215;5316.0;3721.2;13547.02;996727.85;1010274.87
98;-3323.539627586207;3717.760565517241;2213;5311.2;3717.8399999999997;13686.68;995827.87;1009514.55
99;-3317.483348275862;3715.4429896551715;2212;5308.8;3716.16;13826.34;995377.88;1009204.22
100;-3311.4270689655173;3713.1254137931037;2211;5306.4;3714.48;13966.0;994927.89;1008893.89
101;-3305.3707896551723;3710.8078379310346;2209;5301.599999999999;3711.12;14105.66;994027.91;1008133.5700000001
102;-3299.314510344827;3708.4902620689654;2208;5299.2;3709.44;14245.32;993577.92;1007823.24
103;-3293.258231034483;3706.172686206896;2207;5296.8;3707.7599999999998;14384.98;993127.93;1007512.91
104;-3287.201951724138;3703.8551103448276;2205;5292.0;3704.3999999999996;14524.64;992227.9500000001;1006752.5900000001
105;-3281.1456724137925;3701.537534482759;2204;5289.599999999999;3702.72;14664.3;991777.96;1006442.26
106;-3275.089393103448;3699.2199586206907;2202;5284.8;3699.3599999999997;14803.96;990877.98;1005681.94
107;-3269.0331137931034;3696.9023827586207;2201;5282.4;3697.68;14943.619999999999;990427.99;1005371.61
108;-3262.9768344827585;3694.584806896552;2200;5280.0;3696.0;15083.279999999999;989978.0;1005061.28
109;-3256.9205551724135;3692.267231034483;2198;5275.2;3692.64;15222.94;989078.02;1004300.96
110;-3250.864275862069;3689.9496551724137;2197;5272.8;3690.96;15362.6;988628.03;1003990.63
111;-3244.807996551724;3687.6320793103446;2196;5270.4;3689.2799999999997;15502.26;988178.04;1003680.3
112;-3238.751717241379;3685.314503448276;2194;5265.599999999999;3685.92;15641.92;987278.06;1002919.9800000001
113;-3232.6954379310346;3682.9969275862063;2193;5263.2;3684.24;15781.58;986828.0700000001;1002609.65
114;-3226.6391586206896;3680.679351724137;2191;5258.4;3680.8799999999997;15921.24;985928.09;1001849.33
115;-3220.5828793103447;3678.361775862069;2190;5256.0;3679.2;16060.9;985478.1;1001539.0
116;-3214.5265999999992;3676.0442;2189;5253.599999999999;3677.52;16200.56;985028.11;1001228.67
117;-3208.4703206896547;3673.7266241379307;2187;5248.8;3674.16;16340.22;984128.13;1000468.35
118;-3202.4140413793098;3671.4090482758616;2186;5246.4;3672.48;16479.88;983678.14;1000158.02
119;-3196.3577620689657;3669.0914724137924;2184;5241.599999999999;3669.12;16619.54;982778.16;999397.7000000001
120;-3190.301482758621;3666.773896551724;2183;5239.2;3667.44;16759.2;982328.17;999087.37
121;-3184.245203448276;3664.4563206896555;2182;5236.8;3665.7599999999998;16898.86;981878.18;998777.04
122;-3178.1889241379313;3662.138744827586;2180;5232.0;3662.4;17038.52;980978.2000000001;998016.7200000001
123;-3172.132644827586;3659.821168965518;2179;5229.599999999999;3660.72;17178.18;980528.21;997706.39
124;-3166.0763655172414;3657.503593103448;2178;5227.2;3659.04;17317.84;980078.22;997396.0599999999
125;-3160.020086206896;3655.18601724138;2176;5222.4;3655.68;17457.5;979178.24;996635.74
126;-3153.963806896552;3652.8684413793108;2175;5220.0;3654.0;17597.16;978728.25;996325.41
127;-3147.9075275862065;3650.550865517242;2173;5215.2;3650.64;17736.82;977828.27;995565.09
128;-3141.8512482758615;3648.2332896551725;2172;5212.8;3648.96;17876.48;977378.28;995254.76
129;-3135.794968965517;3645.915713793103;2171;5210.4;3647.2799999999997;18016.14;976928.29;994944.43
130;-3129.7386896551725;3643.598137931035;2169;5205.599999999999;3643.92;18155.8;976028.31;994184.1100000001
131;-3123.682410344827;3641.2805620689655;2168;5203.2;3642.24;18295.46;975578.3200000001;993873.78
132;-3117.6261310344826;3638.962986206896;2167;5200.8;3640.56;18435.12;975128.3300000001;993563.4500000001
133;-3111.5698517241376;3636.645410344827;2165;5196.0;3637.2;18574.78;974228.35;992803.13
134;-3105.513572413793;3634.327834482757;2164;5193.599999999999;3635.52;18714.44;973778.36;992492.7999999999
135;-3099.4572931034477;3632.0102586206895;2162;5188.8;3632.16;18854.1;972878.38;991732.48
136;-3093.4010137931036;3629.6926827586194;2161;5186.4;3630.48;18993.76;972428.39;991422.15
137;-3087.344734482758;3627.3751068965507;2160;5184.0;3628.7999999999997;19133.42;971978.4;991111.8200000001
138;-3081.2884551724137;3625.0575310344834;2158;5179.2;3625.44;19273.079999999998;971078.42;990351.5
139;-3075.232175862069;3622.7399551724134;2157;5176.8;3623.7599999999998;19412.739999999998;970628.43;990041.17
140;-3069.1758965517242;3620.4223793103433;2156;5174.4;3622.08;19552.399999999998;970178.4400000001;989730.8400000001
141;-3063.1196172413793;3618.1048034482756;2154;5169.599999999999;3618.72;19692.06;969278.46;988970.52
142;-3057.063337931034;3615.787227586207;2153;5167.2;3617.04;19831.72;968828.47;988660.19
143;-3051.00705862069;3613.4696517241373;2151;5162.4;3613.68;19971.38;967928.49;987899.87
144;-3044.9507793103453;3611.152075862069;2150;5160.0;3612.0;20111.04;967478.5;987589.54
145;-3038.8945;3608.8345;2149;5157.599999999999;3610.3199999999997;20250.7;967028.51;987279.21
146;-3032.838220689655;3606.5169241379303;2147;5152.8;3606.96;20390.36;966128.53;986518.89
147;-3026.7819413793104;3604.1993482758608;2146;5150.4;3605.2799999999997;20530.02;965678.54;986208.56
148;-3020.7256620689654;3601.881772413792;2144;5145.599999999999;3601.92;20669.68;964778.56;985448.2400000001
149;-3014.6693827586205;3599.5641965517234;2143;5143.2;3600.24;20809.34;964328.5700000001;985137.91
150;-3008.613103448276;3597.246620689654;2142;5140.8;3598.56;20949.0;963878.5800000001;984827.5800000001
151;-3002.5568241379315;3594.9290448275856;2140;5136.0;3595.2;21088.66;962978.6;984067.26
