date_heure;Puissance Consume (kW);col 1 ;Vitesse du Vent (ms);col 2 ;power_kW_calculated Eolienne2;irradiance direct;irradiance difuse;irradiance total ;Puissance PV kW
01/01/2019 01:00;30;8151;8,151;65567;65,567;0;0;0;0
01/01/2019 02:00;30;8378;8,378;69426;69,426;0;0;0;0
01/01/2019 03:00;30;8288;8,288;67896;67,896;0;0;0;0
01/01/2019 04:00;30;7975;7,975;62650;62,65;0;0;0;0
01/01/2019 05:00;30;7802;7,802;60228;60,228;0;0;0;0
01/01/2019 06:00;33;7652;7,652;58128;58,128;0;0;0;0
01/01/2019 07:00;35;7385;7,385;54390;54,39;0;0;0;0
01/01/2019 08:00;40;7241;7,241;52374;52,374;0,039;0,012;0,051;0,00918
01/01/2019 09:00;45;6870;6,87;47050;47,05;0,262;0,053;0,315;0,0567
01/01/2019 10:00;50;6668;6,668;44020;44,02;0,457;0,072;0,529;0,09522
01/01/2019 11:00;45;6588;6,588;42820;42,82;0,587;0,081;0,668;0,12024
01/01/2019 12:00;40;6554;6,554;42310;42,31;0,645;0,086;0,731;0,13158
01/01/2019 13:00;35;6588;6,588;42820;42,82;0,63;0,085;0,715;0,1287
01/01/2019 14:00;36;6698;6,698;44470;44,47;0,541;0,079;0,62;0,1116
01/01/2019 15:00;36;6810;6,81;46150;46,15;0,39;0,067;0,457;0,08226
01/01/2019 16:00;36;6798;6,798;45970;45,97;0,173;0,042;0,215;0,0387
01/01/2019 17:00;35;7186;7,186;51604;51,604;0,004;0,002;0,006;0,00108
01/01/2019 18:00;40;7784;7,784;59976;59,976;0;0;0;0
01/01/2019 19:00;47;8208;8,208;66536;66,536;0;0;0;0
01/01/2019 20:00;50;8596;8,596;73132;73,132;0;0;0;0
01/01/2019 21:00;47;8935;8,935;78895;78,895;0;0;0;0
01/01/2019 22:00;40;9284;9,284;85680;85,68;0;0;0;0
01/01/2019 23:00;35;9647;9,647;92940;92,94;0;0;0;0
02/01/2019 00:00;28;9861;9,861;97220;97,22;0;0;0;0
02/01/2019 01:00;30;10065;10,065;100000;100;0;0;0;0
02/01/2019 02:00;30;10272;10,272;100000;100;0;0;0;0
02/01/2019 03:00;30;10332;10,332;100000;100;0;0;0;0
02/01/2019 04:00;30;10733;10,733;100000;100;0;0;0;0
02/01/2019 05:00;30;11014;11,014;100000;100;0;0;0;0
02/01/2019 06:00;33;11009;11,009;100000;100;0;0;0;0
02/01/2019 07:00;35;10931;10,931;100000;100;0;0;0;0
02/01/2019 08:00;40;10987;10,987;100000;100;0,046;0,012;0,058;0,01044
02/01/2019 09:00;45;11400;11,4;100000;100;0,292;0,049;0,341;0,06138
02/01/2019 10:00;50;11350;11,35;100000;100;0,501;0,063;0,564;0,10152
02/01/2019 11:00;45;11187;11,187;100000;100;0,645;0,07;0,715;0,1287
02/01/2019 12:00;40;11150;11,15;100000;100;0,729;0,07;0,799;0,14382
02/01/2019 13:00;35;11188;11,188;100000;100;0,699;0,071;0,77;0,1386
02/01/2019 14:00;36;11120;11,12;100000;100;0,65;0,06;0,71;0,1278
02/01/2019 15:00;36;10865;10,865;100000;100;0,497;0,05;0,547;0,09846
02/01/2019 16:00;36;10631;10,631;100000;100;0,238;0,035;0,273;0,04914
02/01/2019 17:00;35;10717;10,717;100000;100;0,005;0,002;0,007;0,00126
02/01/2019 18:00;40;10694;10,694;100000;100;0;0;0;0
02/01/2019 19:00;47;10489;10,489;100000;100;0;0;0;0
02/01/2019 20:00;50;10312;10,312;100000;100;0;0;0;0
02/01/2019 21:00;47;10254;10,254;100000;100;0;0;0;0
02/01/2019 22:00;40;9965;9,965;99300;99,3;0;0;0;0
02/01/2019 23:00;35;9553;9,553;91060;91,06;0;0;0;0
03/01/2019 00:00;28;9214;9,214;84280;84,28;0;0;0;0
03/01/2019 01:00;30;8947;8,947;79099;79,099;0;0;0;0
03/01/2019 02:00;30;8711;8,711;75087;75,087;0;0;0;0
03/01/2019 03:00;30;8508;8,508;71636;71,636;0;0;0;0
03/01/2019 04:00;30;8325;8,325;68525;68,525;0;0;0;0
03/01/2019 05:00;30;8148;8,148;65516;65,516;0;0;0;0
03/01/2019 06:00;33;8123;8,123;65091;65,091;0;0;0;0
03/01/2019 07:00;35;8042;8,042;63714;63,714;0;0;0;0
03/01/2019 08:00;40;7982;7,982;62748;62,748;0,066;0,011;0,077;0,01386
03/01/2019 09:00;45;7603;7,603;57442;57,442;0,377;0,039;0,416;0,07488
03/01/2019 10:00;50;7395;7,395;54530;54,53;0,6;0,048;0,648;0,11664
03/01/2019 11:00;45;7693;7,693;58702;58,702;0,744;0,054;0,798;0,14364
03/01/2019 12:00;40;7614;7,614;57596;57,596;0,808;0,057;0,865;0,1557
03/01/2019 13:00;35;7588;7,588;57232;57,232;0,787;0,057;0,844;0,15192
03/01/2019 14:00;36;7596;7,596;57344;57,344;0,685;0,054;0,739;0,13302
03/01/2019 15:00;36;7480;7,48;55720;55,72;0,5;0,048;0,548;0,09864
03/01/2019 16:00;36;7275;7,275;52850;52,85;0,236;0,035;0,271;0,04878
03/01/2019 17:00;35;7674;7,674;58436;58,436;0,006;0,002;0,008;0,00144
03/01/2019 18:00;40;8121;8,121;65057;65,057;0;0;0;0
03/01/2019 19:00;47;8095;8,095;64615;64,615;0;0;0;0
03/01/2019 20:00;50;7860;7,86;61040;61,04;0;0;0;0
03/01/2019 21:00;47;7720;7,72;59080;59,08;0;0;0;0
03/01/2019 22:00;40;7708;7,708;58912;58,912;0;0;0;0
03/01/2019 23:00;35;7737;7,737;59318;59,318;0;0;0;0
04/01/2019 00:00;28;7761;7,761;59654;59,654;0;0;0;0
04/01/2019 01:00;30;7877;7,877;61278;61,278;0;0;0;0
04/01/2019 02:00;30;7982;7,982;62748;62,748;0;0;0;0
04/01/2019 03:00;30;8008;8,008;63136;63,136;0;0;0;0
04/01/2019 04:00;30;7967;7,967;62538;62,538;0;0;0;0
04/01/2019 05:00;30;7936;7,936;62104;62,104;0;0;0;0
04/01/2019 06:00;33;7917;7,917;61838;61,838;0;0;0;0
04/01/2019 07:00;35;7779;7,779;59906;59,906;0;0;0;0
04/01/2019 08:00;40;7575;7,575;57050;57,05;0,059;0,012;0,071;0,01278
04/01/2019 09:00;45;6894;6,894;47410;47,41;0,32;0,047;0,367;0,06606
04/01/2019 10:00;50;6474;6,474;41110;41,11;0,533;0,06;0,593;0,10674
04/01/2019 11:00;45;6654;6,654;43810;43,81;0,705;0,062;0,767;0,13806
04/01/2019 12:00;40;6611;6,611;43165;43,165;0,784;0,063;0,847;0,15246
04/01/2019 13:00;35;6520;6,52;41800;41,8;0,75;0,065;0,815;0,1467
04/01/2019 14:00;36;6454;6,454;40810;40,81;0,622;0,067;0,689;0,12402
04/01/2019 15:00;36;6278;6,278;38170;38,17;0,341;0,075;0,416;0,07488
04/01/2019 16:00;36;6215;6,215;37225;37,225;0,086;0,048;0,134;0,02412
04/01/2019 17:00;35;6671;6,671;44065;44,065;0,002;0,002;0,004;0,00072
04/01/2019 18:00;40;7124;7,124;50736;50,736;0;0;0;0
04/01/2019 19:00;47;7252;7,252;52528;52,528;0;0;0;0
04/01/2019 20:00;50;7349;7,349;53886;53,886;0;0;0;0
04/01/2019 21:00;47;7395;7,395;54530;54,53;0;0;0;0
04/01/2019 22:00;40;7440;7,44;55160;55,16;0;0;0;0
04/01/2019 23:00;35;7685;7,685;58590;58,59;0;0;0;0
05/01/2019 00:00;28;7901;7,901;61614;61,614;0;0;0;0
05/01/2019 01:00;30;8203;8,203;66451;66,451;0;0;0;0
05/01/2019 02:00;30;8470;8,47;70990;70,99;0;0;0;0
05/01/2019 03:00;30;8834;8,834;77178;77,178;0;0;0;0
05/01/2019 04:00;30;9104;9,104;82080;82,08;0;0;0;0
05/01/2019 05:00;30;9468;9,468;89360;89,36;0;0;0;0
05/01/2019 06:00;33;9748;9,748;94960;94,96;0;0;0;0
05/01/2019 07:00;35;9712;9,712;94240;94,24;0;0;0;0
05/01/2019 08:00;40;9684;9,684;93680;93,68;0,066;0,012;0,078;0,01404
05/01/2019 09:00;45;9549;9,549;90980;90,98;0,372;0,041;0,413;0,07434
05/01/2019 10:00;50;10063;10,063;100000;100;0,589;0,051;0,64;0,1152
05/01/2019 11:00;45;10448;10,448;100000;100;0,722;0,058;0,78;0,1404
05/01/2019 12:00;40;10642;10,642;100000;100;0,775;0,063;0,838;0,15084
05/01/2019 13:00;35;10970;10,97;100000;100;0,741;0,065;0,806;0,14508
05/01/2019 14:00;36;11204;11,204;100000;100;0,636;0,063;0,699;0,12582
05/01/2019 15:00;36;11253;11,253;100000;100;0,452;0,056;0,508;0,09144
05/01/2019 16:00;36;11431;11,431;100000;100;0,198;0,04;0,238;0,04284
05/01/2019 17:00;35;11672;11,672;100000;100;0,005;0,003;0,008;0,00144
05/01/2019 18:00;40;11808;11,808;100000;100;0;0;0;0
05/01/2019 19:00;47;11805;11,805;100000;100;0;0;0;0
