panneaux;bilan_periode_kWh;besoin_batterie_utilisable_kWh;batteries;capacite_nominale_batteries_kWh;capacite_utilisable_batteries_kWh;cout_panneaux_EUR;cout_batteries_EUR;cout_total_EUR
0;-5650.986999999999;5650.9869999999955;3364;8073.599999999999;5651.5199999999995;0.0;1513766.36;1513766.36
1;-5635.72156;5635.721559999999;3355;8052.0;5636.4;139.66;1509716.45;1509856.1099999999
2;-5620.45612;5620.456119999996;3346;8030.4;5621.28;279.32;1505666.54;1505945.86
3;-5605.19068;5605.190679999997;3337;8008.799999999999;5606.16;418.98;1501616.6300000001;1502035.61
4;-5589.9252400000005;5589.925239999998;3328;7987.2;5591.04;558.64;1497566.72;1498125.3599999999
5;-5574.659799999999;5574.659799999998;3319;7965.599999999999;5575.92;698.3;1493516.81;1494215.11
6;-5559.39436;5559.394359999997;3310;7944.0;5560.8;837.96;1489466.9000000001;1490304.86
7;-5544.12892;5544.12892;3301;7922.4;5545.679999999999;977.62;1485416.99;1486394.61
8;-5528.86348;5528.863479999996;3291;7898.4;5528.88;1117.28;1480917.09;1482034.37
9;-5513.59804;5513.5980400000035;3282;7876.799999999999;5513.76;1256.94;1476867.18;1478124.1199999999
10;-5498.3326;5498.332600000001;3273;7855.2;5498.639999999999;1396.6;1472817.27;1474213.87
11;-5483.06716;5483.067159999994;3264;7833.599999999999;5483.5199999999995;1536.26;1468767.36;1470303.62
12;-5467.80172;5467.801719999999;3255;7812.0;5468.4;1675.92;1464717.45;1466393.3699999999
13;-5452.53628;5452.536279999999;3246;7790.4;5453.28;1815.58;1460667.54;1462483.12
14;-5437.27084;5437.27084;3237;7768.799999999999;5438.16;1955.24;1456617.6300000001;1458572.87
15;-5422.0054;5422.005399999997;3228;7747.2;5423.04;2094.9;1452567.72;1454662.6199999999
16;-5406.73996;5406.739959999999;3219;7725.599999999999;5407.92;2234.56;1448517.81;1450752.37
17;-5391.47452;5391.474519999997;3210;7704.0;5392.8;2374.22;1444467.9000000001;1446842.12
18;-5376.2090800000005;5376.209079999997;3201;7682.4;5377.679999999999;2513.88;1440417.99;1442931.8699999999
19;-5360.94364;5360.943639999996;3192;7660.799999999999;5362.5599999999995;2653.54;1436368.08;1439021.62
20;-5345.6782;5345.678199999997;3182;7636.799999999999;5345.76;2793.2;1431868.18;1434661.38
21;-5330.41276;5330.412759999999;3173;7615.2;5330.639999999999;2932.86;1427818.27;1430751.1300000001
22;-5315.14732;5315.147319999995;3164;7593.599999999999;5315.5199999999995;3072.52;1423768.36;1426840.8800000001
23;-5299.88188;5299.881879999998;3155;7572.0;5300.4;3212.18;1419718.45;1422930.63
24;-5284.61644;5284.616439999997;3146;7550.4;5285.28;3351.84;1415668.54;1419020.3800000001
25;-5269.351;5269.350999999998;3137;7528.799999999999;5270.16;3491.5;1411618.6300000001;1415110.1300000001
26;-5254.0855599999995;5254.0855599999995;3128;7507.2;5255.04;3631.16;1407568.72;1411199.88
27;-5238.82012;5238.820119999995;3119;7485.599999999999;5239.92;3770.8199999999997;1403518.81;1407289.6300000001
28;-5223.55468;5223.554680000002;3110;7464.0;5224.8;3910.48;1399468.9000000001;1403379.3800000001
29;-5208.28924;5208.289239999999;3101;7442.4;5209.679999999999;4050.14;1395418.99;1399469.13
30;-5193.0238;5193.023800000001;3092;7420.799999999999;5194.5599999999995;4189.8;1391369.08;1395558.8800000001
31;-5177.75836;5177.758359999998;3082;7396.799999999999;5177.76;4329.46;1386869.18;1391198.64
32;-5162.492920000001;5162.492919999999;3073;7375.2;5162.639999999999;4469.12;1382819.27;1387288.3900000001
33;-5147.22748;5147.22748;3064;7353.599999999999;5147.5199999999995;4608.78;1378769.36;1383378.1400000001
34;-5131.96204;5131.962039999997;3055;7332.0;5132.4;4748.44;1374719.45;1379467.89
35;-5116.696599999999;5116.696599999994;3046;7310.4;5117.28;4888.099999999999;1370669.54;1375557.6400000001
36;-5101.43116;5101.431159999996;3037;7288.8;5102.16;5027.76;1366619.6300000001;1371647.3900000001
37;-5086.16572;5086.165719999997;3028;7267.2;5087.04;5167.42;1362569.72;1367737.14
