panneaux;bilan_periode_kWh;besoin_batterie_utilisable_kWh;batteries;capacite_nominale_batteries_kWh;capacite_utilisable_batteries_kWh;cout_panneaux_EUR;cout_batteries_EUR;cout_total_EUR
0;36450.596000000005;22322.981999999873;13288;31891.199999999997;22323.84;0.0;5979467.12;5979467.12
1;36816.69314;22145.51837999982;13182;31636.8;22145.76;139.66;5931768.18;5931907.84
2;37182.79028;21968.054759999915;13077;31384.8;21969.36;279.32;5884519.23;5884798.550000001
3;37548.88742;21790.59113999998;12971;31130.399999999998;21791.28;418.98;5836820.29;5837239.2700000005
4;37914.984560000004;21613.127520000053;12865;30876.0;21613.2;558.64;5789121.350000001;5789679.99
5;38281.081699999995;21435.663899999992;12760;30624.0;21436.8;698.3;5741872.4;5742570.7
6;38647.17883999999;21258.200280000092;12654;30369.6;21258.719999999998;837.96;5694173.46;5695011.42
7;39013.27598;21080.736660000108;12549;30117.6;21082.32;977.62;5646924.51;5647902.13
8;39379.37312;20903.273040000066;12443;29863.199999999997;20904.239999999998;1117.28;5599225.57;5600342.850000001
9;39745.47026;20725.80942;12337;29608.8;20726.16;1256.94;5551526.63;5552783.57
10;40111.56739999999;20548.345799999945;12232;29356.8;20549.76;1396.6;5504277.68;5505674.279999999
11;40477.664540000005;20370.882180000102;12126;29102.399999999998;20371.68;1536.26;5456578.74;5458115.0
12;40843.761679999996;20193.418559999976;12020;28848.0;20193.6;1675.92;5408879.8;5410555.72
13;41209.85882;20030.462920000107;11923;28615.2;20030.64;1815.58;5365230.7700000005;5367046.350000001
14;41575.95595999999;19879.683760000145;11834;28401.6;19881.12;1955.24;5325181.66;5327136.9
15;41942.0531;19728.904600000096;11744;28185.6;19729.92;2094.9;5284682.5600000005;5286777.460000001
16;42308.15024;19578.12544000016;11654;27969.6;19578.719999999998;2234.56;5244183.46;5246418.02
17;42674.24738;19427.34628000013;11564;27753.6;19427.52;2374.22;5203684.36;5206058.58
18;43040.344520000006;19276.567119999825;11475;27540.0;19278.0;2513.88;5163635.25;5166149.13
19;43406.44166;19125.787960000056;11385;27324.0;19126.8;2653.54;5123136.15;5125789.69
20;43772.538799999995;18975.00880000004;11295;27108.0;18975.6;2793.2;5082637.05;5085430.25
21;44138.63594;18824.22963999997;11205;26892.0;18824.399999999998;2932.86;5042137.95;5045070.8100000005
22;44504.733080000005;18673.45048000002;11116;26678.399999999998;18674.88;3072.52;5002088.84;5005161.359999999
23;44870.830219999996;18522.671319999972;11026;26462.399999999998;18523.68;3212.18;4961589.74;4964801.92
24;45236.92735999999;18371.892160000178;10936;26246.399999999998;18372.48;3351.84;4921090.64;4924442.4799999995
25;45603.0245;18221.112999999947;10846;26030.399999999998;18221.28;3491.5;4880591.54;4884083.04
26;45969.12163999999;18070.333840000007;10757;25816.8;18071.76;3631.16;4840542.43;4844173.59
27;46335.21878;17919.55468000011;10667;25600.8;17920.559999999998;3770.8199999999997;4800043.33;4803814.15
28;46701.31592;17768.775520000025;10577;25384.8;17769.36;3910.48;4759544.23;4763454.710000001
29;47067.41306;17617.996359999925;10487;25168.8;17618.16;4050.14;4719045.13;4723095.27
30;47433.510200000004;17467.217199999977;10398;24955.2;17468.64;4189.8;4678996.0200000005;4683185.82
31;47799.60733999999;17316.438040000074;10308;24739.2;17317.44;4329.46;4638496.92;4642826.38
32;48165.70448;17165.6588799999;10218;24523.2;17166.239999999998;4469.12;4597997.82;4602466.94
33;48531.80162;17014.879719999917;10128;24307.2;17015.04;4608.78;4557498.72;4562107.5
34;48897.89876;16864.100560000086;10039;24093.6;16865.52;4748.44;4517449.61;4522198.050000001
35;49263.99590000001;16713.321400000037;9949;23877.6;16714.32;4888.099999999999;4476950.51;4481838.609999999
36;49630.09304000001;16562.542240000053;9859;23661.6;16563.12;5027.76;4436451.41;4441479.17
37;49996.19018;16411.763080000157;9769;23445.6;16411.92;5167.42;4395952.3100000005;4401119.73
38;50362.287319999996;16260.983920000035;9680;23232.0;16262.4;5307.08;4355903.2;4361210.28
39;50728.384459999994;16110.204760000059;9590;23016.0;16111.199999999999;5446.74;4315404.1;4320850.84
40;51094.4816;15959.425599999886;9500;22800.0;15960.0;5586.4;4274905.0;4280491.4
41;51460.578740000004;15808.646440000171;9410;22584.0;15808.8;5726.0599999999995;4234405.9;4240131.96
42;51826.675879999995;15657.867280000042;9321;22370.399999999998;15659.279999999999;5865.72;4194356.79;4200222.51
43;52192.77302;15507.088119999928;9231;22154.399999999998;15508.08;6005.38;4153857.69;4159863.07
44;52558.87016;15356.308960000031;9141;21938.399999999998;15356.88;6145.04;4113358.59;4119503.63
45;52924.967300000004;15205.529800000098;9051;21722.399999999998;15205.68;6284.7;4072859.49;4079144.1900000004
46;53291.06444;15054.750640000122;8962;21508.8;15056.16;6424.36;4032810.38;4039234.7399999998
47;53657.16158;14903.971480000007;8872;21292.8;14904.96;6564.0199999999995;3992311.2800000003;3998875.3000000003
48;54023.25871999999;14753.192320000016;8782;21076.8;14753.76;6703.68;3951812.18;3958515.8600000003
49;54389.355859999996;14602.413160000156;8692;20860.8;14602.56;6843.34;3911313.08;3918156.42
50;54755.452999999994;14451.634000000027;8603;20647.2;14453.039999999999;6983.0;3871263.97;3878246.97
51;55121.55014000001;14300.854840000087;8513;20431.2;14301.84;7122.66;3830764.87;3837887.5300000003
52;55487.64728;14150.075680000096;8423;20215.2;14150.64;7262.32;3790265.77;3797528.09
53;55853.74441999999;13999.296519999945;8333;19999.2;13999.439999999999;7401.98;3749766.67;3757168.65
54;56219.84155999999;13848.5173600001;8244;19785.6;13849.92;7541.639999999999;3709717.56;3717259.2
55;56585.9387;13697.738200000029;8154;19569.6;13698.72;7681.3;3669218.46;3676899.76
56;56952.03584;13546.959040000038;8064;19353.6;13547.519999999999;7820.96;3628719.36;3636540.32
57;57318.132979999995;13396.179879999967;7974;19137.6;13396.32;7960.62;3588220.2600000002;3596180.8800000004
58;57684.23012;13245.400719999961;7885;18924.0;13246.8;8100.28;3548171.15;3556271.4299999997
59;58050.327260000005;13094.621560000065;7795;18708.0;13095.6;8239.94;3507672.0500000003;3515911.99
60;58416.4244;12943.842399999958;7705;18492.0;12944.4;8379.6;3467172.95;3475552.5500000003
61;58782.52154;12793.06324000001;7615;18276.0;12793.199999999999;8519.26;3426673.85;3435193.11
