panneaux;heure_debut;heure_fin_incluse;heure_fin_exclue;conso_15j_kWh;eolien_15j_kWh;pv_15j_kWh;production_15j_kWh;bilan_15j_kWh
1;2019-01-01 00:00:00;2019-01-15 23:00:00;2019-01-16 00:00:00;13545.0;31160.658;11.84382;31172.50182;17627.50182
1;2019-01-01 01:00:00;2019-01-16 00:00:00;2019-01-16 01:00:00;13545.0;31116.147;11.84382;31127.990820000003;17582.990820000003
1;2019-01-01 02:00:00;2019-01-16 01:00:00;2019-01-16 02:00:00;13545.0;31067.857;11.84382;31079.700820000002;17534.700820000002
1;2019-01-01 03:00:00;2019-01-16 02:00:00;2019-01-16 03:00:00;13545.0;31020.249;11.84382;31032.09282;17487.09282
1;2019-01-01 04:00:00;2019-01-16 03:00:00;2019-01-16 04:00:00;13545.0;30977.447;11.84382;30989.29082;17444.29082
1;2019-01-01 05:00:00;2019-01-16 04:00:00;2019-01-16 05:00:00;13545.0;30936.443;11.84382;30948.28682;17403.28682
1;2019-01-01 06:00:00;2019-01-16 05:00:00;2019-01-16 06:00:00;13545.0;30897.699;11.84382;30909.54282;17364.54282
1;2019-01-01 07:00:00;2019-01-16 06:00:00;2019-01-16 07:00:00;13545.0;30862.213;11.84382;30874.05682;17329.05682
1;2019-01-01 08:00:00;2019-01-16 07:00:00;2019-01-16 08:00:00;13545.0;30827.103;11.847059999999999;30838.95006;17293.95006
1;2019-01-01 09:00:00;2019-01-16 08:00:00;2019-01-16 09:00:00;13545.0;30797.213;11.83626;30809.04926;17264.04926
1;2019-01-01 10:00:00;2019-01-16 09:00:00;2019-01-16 10:00:00;13545.0;30769.941;11.826540000000001;30781.76754;17236.76754
1;2019-01-01 11:00:00;2019-01-16 10:00:00;2019-01-16 11:00:00;13545.0;30746.665;11.8143;30758.4793;17213.4793
1;2019-01-01 12:00:00;2019-01-16 11:00:00;2019-01-16 12:00:00;13545.0;30724.451;11.79846;30736.24946;17191.24946
1;2019-01-01 13:00:00;2019-01-16 12:00:00;2019-01-16 13:00:00;13545.0;30701.183;11.77974;30712.96274;17167.96274
1;2019-01-01 14:00:00;2019-01-16 13:00:00;2019-01-16 14:00:00;13545.0;30675.632999999998;11.763;30687.395999999997;17142.395999999997
1;2019-01-01 15:00:00;2019-01-16 14:00:00;2019-01-16 15:00:00;13545.0;30648.523;11.748059999999999;30660.271060000003;17115.271060000003
1;2019-01-01 16:00:00;2019-01-16 15:00:00;2019-01-16 16:00:00;13545.0;30622.441;11.73906;30634.18006;17089.18006
1;2019-01-01 17:00:00;2019-01-16 16:00:00;2019-01-16 17:00:00;13545.0;30589.037;11.739600000000001;30600.776599999997;17055.776599999997
1;2019-01-01 18:00:00;2019-01-16 17:00:00;2019-01-16 18:00:00;13545.0;30544.759000000002;11.739600000000001;30556.4986;17011.4986
1;2019-01-01 19:00:00;2019-01-16 18:00:00;2019-01-16 19:00:00;13545.0;30491.436;11.739600000000001;30503.1756;16958.1756
1;2019-01-01 20:00:00;2019-01-16 19:00:00;2019-01-16 20:00:00;13545.0;30428.759000000002;11.739600000000001;30440.498600000003;16895.498600000003
1;2019-01-01 21:00:00;2019-01-16 20:00:00;2019-01-16 21:00:00;13545.0;30360.214;11.739600000000001;30371.9536;16826.9536
1;2019-01-01 22:00:00;2019-01-16 21:00:00;2019-01-16 22:00:00;13545.0;30287.747;11.739600000000001;30299.4866;16754.4866
1;2019-01-01 23:00:00;2019-01-16 22:00:00;2019-01-16 23:00:00;13545.0;30210.988;11.739600000000001;30222.7276;16677.7276
1;2019-01-02 00:00:00;2019-01-16 23:00:00;2019-01-17 00:00:00;13545.0;30133.04;11.739600000000001;30144.7796;16599.7796
1;2019-01-02 01:00:00;2019-01-17 00:00:00;2019-01-17 01:00:00;13545.0;30054.88;11.739600000000001;30066.6196;16521.6196
1;2019-01-02 02:00:00;2019-01-17 01:00:00;2019-01-17 02:00:00;13545.0;29977.72;11.739600000000001;29989.459600000002;16444.459600000002
1;2019-01-02 03:00:00;2019-01-17 02:00:00;2019-01-17 03:00:00;13545.0;29901.304;11.739600000000001;29913.0436;16368.043599999999
1;2019-01-02 04:00:00;2019-01-17 03:00:00;2019-01-17 04:00:00;13545.0;29826.502;11.739600000000001;29838.2416;16293.2416
1;2019-01-02 05:00:00;2019-01-17 04:00:00;2019-01-17 05:00:00;13545.0;29753.509;11.739600000000001;29765.248600000003;16220.248599999999
1;2019-01-02 06:00:00;2019-01-17 05:00:00;2019-01-17 06:00:00;13545.0;29681.893;11.739600000000001;29693.6326;16148.632599999999
1;2019-01-02 07:00:00;2019-01-17 06:00:00;2019-01-17 07:00:00;13545.0;29611.798;11.739600000000001;29623.5376;16078.5376
1;2019-01-02 08:00:00;2019-01-17 07:00:00;2019-01-17 08:00:00;13545.0;29542.684;11.73456;29554.41856;16009.41856
1;2019-01-02 09:00:00;2019-01-17 08:00:00;2019-01-17 09:00:00;13545.0;29472.949;11.7;29484.649;15939.649
1;2019-01-02 10:00:00;2019-01-17 09:00:00;2019-01-17 10:00:00;13545.0;29404.582;11.644559999999998;29416.22656;15871.22656
1;2019-01-02 11:00:00;2019-01-17 10:00:00;2019-01-17 11:00:00;13545.0;29345.436999999998;11.575980000000001;29357.01298;15812.012980000001
1;2019-01-02 12:00:00;2019-01-17 11:00:00;2019-01-17 12:00:00;13545.0;29301.773;11.501819999999999;29313.274820000002;15768.274819999999
1;2019-01-02 13:00:00;2019-01-17 12:00:00;2019-01-17 13:00:00;13545.0;29264.703;11.45898;29276.16198;15731.161979999999
1;2019-01-02 14:00:00;2019-01-17 13:00:00;2019-01-17 14:00:00;13545.0;29229.641;11.4084;29241.0494;15696.049400000002
1;2019-01-02 15:00:00;2019-01-17 14:00:00;2019-01-17 15:00:00;13545.0;29190.722999999998;11.366100000000001;29202.0891;15657.0891
1;2019-01-02 16:00:00;2019-01-17 15:00:00;2019-01-17 16:00:00;13545.0;29142.411;11.3409;29153.7519;15608.751900000001
1;2019-01-02 17:00:00;2019-01-17 16:00:00;2019-01-17 17:00:00;13545.0;29091.231;11.341439999999999;29102.57244;15557.57244
1;2019-01-02 18:00:00;2019-01-17 17:00:00;2019-01-17 18:00:00;13545.0;29041.085;11.341439999999999;29052.42644;15507.42644
1;2019-01-02 19:00:00;2019-01-17 18:00:00;2019-01-17 19:00:00;13545.0;28991.233;11.341439999999999;29002.57444;15457.57444
1;2019-01-02 20:00:00;2019-01-17 19:00:00;2019-01-17 20:00:00;13545.0;28943.439;11.341439999999999;28954.78044;15409.78044
1;2019-01-02 21:00:00;2019-01-17 20:00:00;2019-01-17 21:00:00;13545.0;28895.435;11.341439999999999;28906.77644;15361.77644
1;2019-01-02 22:00:00;2019-01-17 21:00:00;2019-01-17 22:00:00;13545.0;28849.573;11.341439999999999;28860.91444;15315.91444
1;2019-01-02 23:00:00;2019-01-17 22:00:00;2019-01-17 23:00:00;13545.0;28815.114999999998;11.341439999999999;28826.456439999998;15281.45644
1;2019-01-03 00:00:00;2019-01-17 23:00:00;2019-01-18 00:00:00;13545.0;28788.893;11.341439999999999;28800.23444;15255.23444
1;2019-01-03 01:00:00;2019-01-18 00:00:00;2019-01-18 01:00:00;13545.0;28768.3;11.341439999999999;28779.64144;15234.64144
1;2019-01-03 02:00:00;2019-01-18 01:00:00;2019-01-18 02:00:00;13545.0;28754.211;11.341439999999999;28765.55244;15220.552440000001
1;2019-01-03 03:00:00;2019-01-18 02:00:00;2019-01-18 03:00:00;13545.0;28739.289;11.341439999999999;28750.63044;15205.63044
1;2019-01-03 04:00:00;2019-01-18 03:00:00;2019-01-18 04:00:00;13545.0;28725.951999999997;11.341439999999999;28737.293439999998;15192.293440000001
1;2019-01-03 05:00:00;2019-01-18 04:00:00;2019-01-18 05:00:00;13545.0;28713.188;11.341439999999999;28724.52944;15179.52944
1;2019-01-03 06:00:00;2019-01-18 05:00:00;2019-01-18 06:00:00;13545.0;28697.558999999997;11.341439999999999;28708.900439999998;15163.900440000001
1;2019-01-03 07:00:00;2019-01-18 06:00:00;2019-01-18 07:00:00;13545.0;28681.315;11.341439999999999;28692.65644;15147.65644
1;2019-01-03 08:00:00;2019-01-18 07:00:00;2019-01-18 08:00:00;13545.0;28663.427;11.337299999999999;28674.7643;15129.7643
1;2019-01-03 09:00:00;2019-01-18 08:00:00;2019-01-18 09:00:00;13545.0;28646.225;11.307419999999999;28657.53242;15112.532420000001
1;2019-01-03 10:00:00;2019-01-18 09:00:00;2019-01-18 10:00:00;13545.0;28632.49;11.273399999999999;28643.763400000003;15098.7634
1;2019-01-03 11:00:00;2019-01-18 10:00:00;2019-01-18 11:00:00;13545.0;28613.938;11.213099999999999;28625.1511;15080.151100000001
1;2019-01-03 12:00:00;2019-01-18 11:00:00;2019-01-18 12:00:00;13545.0;28594.317;11.12688;28605.443880000003;15060.443879999999
1;2019-01-03 13:00:00;2019-01-18 12:00:00;2019-01-18 13:00:00;13545.0;28571.399999999998;11.02878;28582.428780000002;15037.42878
1;2019-01-03 14:00:00;2019-01-18 13:00:00;2019-01-18 14:00:00;13545.0;28544.555;10.93878;28555.49378;15010.493779999999
1;2019-01-03 15:00:00;2019-01-18 14:00:00;2019-01-18 15:00:00;13545.0;28514.834;10.868219999999999;28525.702220000003;14980.70222
