timestamp;date_heure;panneaux;batteries;consommation_kWh;eolien_kWh;pv_kWh;production_kWh;bilan_kWh;energie_stockee_kWh;soc_pct;energie_non_servie_kWh;energie_ecretee_kWh
2019-01-01 00:00:00;2019-01-01 01:00:00;623;373;30;65.567;0.0;65.567;35.56699999999999;805.68;90.0;0.0;35.56700000000001
2019-01-01 01:00:00;2019-01-01 02:00:00;623;373;30;69.426;0.0;69.426;39.426;805.68;90.0;0.0;39.426000000000045
2019-01-01 02:00:00;2019-01-01 03:00:00;623;373;30;67.896;0.0;67.896;37.896;805.68;90.0;0.0;37.89599999999996
2019-01-01 03:00:00;2019-01-01 04:00:00;623;373;30;62.65;0.0;62.65;32.65;805.68;90.0;0.0;32.64999999999998
2019-01-01 04:00:00;2019-01-01 05:00:00;623;373;30;60.228;0.0;60.228;30.228;805.68;90.0;0.0;30.227999999999952
2019-01-01 05:00:00;2019-01-01 06:00:00;623;373;33;58.128;0.0;58.128;25.128;805.68;90.0;0.0;25.128000000000043
2019-01-01 06:00:00;2019-01-01 07:00:00;623;373;35;54.39;0.0;54.39;19.39;805.68;90.0;0.0;19.389999999999986
2019-01-01 07:00:00;2019-01-01 08:00:00;623;373;40;52.374;5.71914;58.093140000000005;18.093140000000005;805.68;90.0;0.0;18.093140000000062
2019-01-01 08:00:00;2019-01-01 09:00:00;623;373;45;47.05;35.3241;82.3741;37.3741;805.68;90.0;0.0;37.3741
2019-01-01 09:00:00;2019-01-01 10:00:00;623;373;50;44.02;59.32206;103.34206;53.342060000000004;805.68;90.0;0.0;53.34206000000006
2019-01-01 10:00:00;2019-01-01 11:00:00;623;373;45;42.82;74.90952;117.72952000000001;72.72952000000001;805.68;90.0;0.0;72.72951999999998
2019-01-01 11:00:00;2019-01-01 12:00:00;623;373;40;42.31;81.97434;124.28434;84.28434;805.68;90.0;0.0;84.28434000000004
2019-01-01 12:00:00;2019-01-01 13:00:00;623;373;35;42.82;80.18010000000001;123.0001;88.0001;805.68;90.0;0.0;88.00009999999997
2019-01-01 13:00:00;2019-01-01 14:00:00;623;373;36;44.47;69.52680000000001;113.99680000000001;77.99680000000001;805.68;90.0;0.0;77.99680000000001
2019-01-01 14:00:00;2019-01-01 15:00:00;623;373;36;46.15;51.24798;97.39797999999999;61.39797999999999;805.68;90.0;0.0;61.39797999999996
2019-01-01 15:00:00;2019-01-01 16:00:00;623;373;36;45.97;24.1101;70.0801;34.0801;805.68;90.0;0.0;34.080100000000016
