timestamp;date_heure;panneaux;batteries;consommation_kWh;eolien_kWh;pv_kWh;production_kWh;bilan_kWh;energie_stockee_kWh;soc_pct;energie_non_servie_kWh;energie_ecretee_kWh
2019-01-01 00:00:00;2019-01-01 01:00:00;658;365;30;65.567;0.0;65.567;35.56699999999999;788.4;90.0;0.0;35.56700000000001
2019-01-01 01:00:00;2019-01-01 02:00:00;658;365;30;69.426;0.0;69.426;39.426;788.4;90.0;0.0;39.426000000000045
2019-01-01 02:00:00;2019-01-01 03:00:00;658;365;30;67.896;0.0;67.896;37.896;788.4;90.0;0.0;37.89599999999996
2019-01-01 03:00:00;2019-01-01 04:00:00;658;365;30;62.65;0.0;62.65;32.65;788.4;90.0;0.0;32.64999999999998
2019-01-01 04:00:00;2019-01-01 05:00:00;658;365;30;60.228;0.0;60.228;30.228;788.4;90.0;0.0;30.227999999999952
2019-01-01 05:00:00;2019-01-01 06:00:00;658;365;33;58.128;0.0;58.128;25.128;788.4;90.0;0.0;25.128000000000043
2019-01-01 06:00:00;2019-01-01 07:00:00;658;365;35;54.39;0.0;54.39;19.39;788.4;90.0;0.0;19.389999999999986
2019-01-01 07:00:00;2019-01-01 08:00:00;658;365;40;52.374;6.04044;58.41444;18.41444;788.4;90.0;0.0;18.414440000000013
2019-01-01 08:00:00;2019-01-01 09:00:00;658;365;45;47.05;37.3086;84.3586;39.358599999999996;788.4;90.0;0.0;39.358600000000024
2019-01-01 09:00:00;2019-01-01 10:00:00;658;365;50;44.02;62.654759999999996;106.67475999999999;56.67475999999999;788.4;90.0;0.0;56.67475999999999
2019-01-01 10:00:00;2019-01-01 11:00:00;658;365;45;42.82;79.11792;121.93791999999999;76.93791999999999;788.4;90.0;0.0;76.93791999999996
2019-01-01 11:00:00;2019-01-01 12:00:00;658;365;40;42.31;86.57964;128.88963999999999;88.88963999999999;788.4;90.0;0.0;88.88963999999999
2019-01-01 12:00:00;2019-01-01 13:00:00;658;365;35;42.82;84.6846;127.50460000000001;92.50460000000001;788.4;90.0;0.0;92.50459999999998
2019-01-01 13:00:00;2019-01-01 14:00:00;658;365;36;44.47;73.4328;117.9028;81.9028;788.4;90.0;0.0;81.90279999999996
2019-01-01 14:00:00;2019-01-01 15:00:00;658;365;36;46.15;54.12708;100.27708;64.27708;788.4;90.0;0.0;64.27707999999996
2019-01-01 15:00:00;2019-01-01 16:00:00;658;365;36;45.97;25.464599999999997;71.43459999999999;35.43459999999999;788.4;90.0;0.0;35.43459999999993
2019-01-01 16:00:00;2019-01-01 17:00:00;658;365;35;51.604;0.71064;52.31464;17.314639999999997;788.4;90.0;0.0;17.31463999999994
2019-01-01 17:00:00;2019-01-01 18:00:00;658;365;40;59.976;0.0;59.976;19.976;788.4;90.0;0.0;19.976
2019-01-01 18:00:00;2019-01-01 19:00:00;658;365;47;66.536;0.0;66.536;19.536;788.4;90.0;0.0;19.535999999999945
2019-01-01 19:00:00;2019-01-01 20:00:00;658;365;50;73.132;0.0;73.132;23.132000000000005;788.4;90.0;0.0;23.131999999999948
2019-01-01 20:00:00;2019-01-01 21:00:00;658;365;47;78.895;0.0;78.895;31.894999999999996;788.4;90.0;0.0;31.894999999999982
2019-01-01 21:00:00;2019-01-01 22:00:00;658;365;40;85.68;0.0;85.68;45.68000000000001;788.4;90.0;0.0;45.67999999999995
2019-01-01 22:00:00;2019-01-01 23:00:00;658;365;35;92.94;0.0;92.94;57.94;788.4;90.0;0.0;57.93999999999994
2019-01-01 23:00:00;2019-01-02 00:00:00;658;365;28;97.22;0.0;97.22;69.22;788.4;90.0;0.0;69.22000000000003
2019-01-02 00:00:00;2019-01-02 01:00:00;658;365;30;100.0;0.0;100.0;70.0;788.4;90.0;0.0;70.0
2019-01-02 01:00:00;2019-01-02 02:00:00;658;365;30;100.0;0.0;100.0;70.0;788.4;90.0;0.0;70.0
2019-01-02 02:00:00;2019-01-02 03:00:00;658;365;30;100.0;0.0;100.0;70.0;788.4;90.0;0.0;70.0
2019-01-02 03:00:00;2019-01-02 04:00:00;658;365;30;100.0;0.0;100.0;70.0;788.4;90.0;0.0;70.0
2019-01-02 04:00:00;2019-01-02 05:00:00;658;365;30;100.0;0.0;100.0;70.0;788.4;90.0;0.0;70.0
2019-01-02 05:00:00;2019-01-02 06:00:00;658;365;33;100.0;0.0;100.0;67.0;788.4;90.0;0.0;67.0
2019-01-02 06:00:00;2019-01-02 07:00:00;658;365;35;100.0;0.0;100.0;65.0;788.4;90.0;0.0;65.0
2019-01-02 07:00:00;2019-01-02 08:00:00;658;365;40;100.0;6.86952;106.86952;66.86952;788.4;90.0;0.0;66.86951999999997
2019-01-02 08:00:00;2019-01-02 09:00:00;658;365;45;100.0;40.38804;140.38804;95.38803999999999;788.4;90.0;0.0;95.38803999999993
2019-01-02 09:00:00;2019-01-02 10:00:00;658;365;50;100.0;66.80016;166.80016;116.80016;788.4;90.0;0.0;116.80016
2019-01-02 10:00:00;2019-01-02 11:00:00;658;365;45;100.0;84.6846;184.6846;139.6846;788.4;90.0;0.0;139.68459999999993
2019-01-02 11:00:00;2019-01-02 12:00:00;658;365;40;100.0;94.63356;194.63356;154.63356;788.4;90.0;0.0;154.63356
2019-01-02 12:00:00;2019-01-02 13:00:00;658;365;35;100.0;91.1988;191.1988;156.1988;788.4;90.0;0.0;156.1988
2019-01-02 13:00:00;2019-01-02 14:00:00;658;365;36;100.0;84.0924;184.0924;148.0924;788.4;90.0;0.0;148.0924
2019-01-02 14:00:00;2019-01-02 15:00:00;658;365;36;100.0;64.78668;164.78668;128.78668;788.4;90.0;0.0;128.78668000000005
2019-01-02 15:00:00;2019-01-02 16:00:00;658;365;36;100.0;32.33412;132.33411999999998;96.33411999999998;788.4;90.0;0.0;96.33411999999998
2019-01-02 16:00:00;2019-01-02 17:00:00;658;365;35;100.0;0.82908;100.82908;65.82908;788.4;90.0;0.0;65.82907999999998
2019-01-02 17:00:00;2019-01-02 18:00:00;658;365;40;100.0;0.0;100.0;60.0;788.4;90.0;0.0;60.0
2019-01-02 18:00:00;2019-01-02 19:00:00;658;365;47;100.0;0.0;100.0;53.0;788.4;90.0;0.0;53.0
2019-01-02 19:00:00;2019-01-02 20:00:00;658;365;50;100.0;0.0;100.0;50.0;788.4;90.0;0.0;50.0
2019-01-02 20:00:00;2019-01-02 21:00:00;658;365;47;100.0;0.0;100.0;53.0;788.4;90.0;0.0;53.0
2019-01-02 21:00:00;2019-01-02 22:00:00;658;365;40;99.3;0.0;99.3;59.3;788.4;90.0;0.0;59.299999999999955
2019-01-02 22:00:00;2019-01-02 23:00:00;658;365;35;91.06;0.0;91.06;56.06;788.4;90.0;0.0;56.06000000000006
2019-01-02 23:00:00;2019-01-03 00:00:00;658;365;28;84.28;0.0;84.28;56.28;788.4;90.0;0.0;56.27999999999997
2019-01-03 00:00:00;2019-01-03 01:00:00;658;365;30;79.099;0.0;79.099;49.099000000000004;788.4;90.0;0.0;49.099000000000046
2019-01-03 01:00:00;2019-01-03 02:00:00;658;365;30;75.087;0.0;75.087;45.087;788.4;90.0;0.0;45.08699999999999
2019-01-03 02:00:00;2019-01-03 03:00:00;658;365;30;71.636;0.0;71.636;41.635999999999996;788.4;90.0;0.0;41.63599999999997
2019-01-03 03:00:00;2019-01-03 04:00:00;658;365;30;68.525;0.0;68.525;38.525000000000006;788.4;90.0;0.0;38.52499999999998
2019-01-03 04:00:00;2019-01-03 05:00:00;658;365;30;65.516;0.0;65.516;35.516000000000005;788.4;90.0;0.0;35.51599999999996
2019-01-03 05:00:00;2019-01-03 06:00:00;658;365;33;65.091;0.0;65.091;32.090999999999994;788.4;90.0;0.0;32.09100000000001
2019-01-03 06:00:00;2019-01-03 07:00:00;658;365;35;63.714;0.0;63.714;28.714;788.4;90.0;0.0;28.714000000000055
2019-01-03 07:00:00;2019-01-03 08:00:00;658;365;40;62.748;9.11988;71.86788;31.86788;788.4;90.0;0.0;31.867880000000014
2019-01-03 08:00:00;2019-01-03 09:00:00;658;365;45;57.442;49.27104;106.71304;61.71304000000001;788.4;90.0;0.0;61.71303999999998
2019-01-03 09:00:00;2019-01-03 10:00:00;658;365;50;54.53;76.74911999999999;131.27911999999998;81.27911999999998;788.4;90.0;0.0;81.27912000000003
2019-01-03 10:00:00;2019-01-03 11:00:00;658;365;45;58.702;94.51512;153.21712;108.21712;788.4;90.0;0.0;108.21712000000002
2019-01-03 11:00:00;2019-01-03 12:00:00;658;365;40;57.596;102.45060000000001;160.0466;120.04660000000001;788.4;90.0;0.0;120.04660000000001
2019-01-03 12:00:00;2019-01-03 13:00:00;658;365;35;57.232;99.96336;157.19536;122.19536;788.4;90.0;0.0;122.19536000000005
2019-01-03 13:00:00;2019-01-03 14:00:00;658;365;36;57.344;87.52716;144.87116;108.87116;788.4;90.0;0.0;108.87116000000003
2019-01-03 14:00:00;2019-01-03 15:00:00;658;365;36;55.72;64.90512;120.62512;84.62512;788.4;90.0;0.0;84.62512000000004
2019-01-03 15:00:00;2019-01-03 16:00:00;658;365;36;52.85;32.09724;84.94724;48.947239999999994;788.4;90.0;0.0;48.947239999999965
2019-01-03 16:00:00;2019-01-03 17:00:00;658;365;35;58.436;0.94752;59.38352;24.383519999999997;788.4;90.0;0.0;24.383519999999976
2019-01-03 17:00:00;2019-01-03 18:00:00;658;365;40;65.057;0.0;65.057;25.057000000000002;788.4;90.0;0.0;25.057000000000016
2019-01-03 18:00:00;2019-01-03 19:00:00;658;365;47;64.615;0.0;64.615;17.614999999999995;788.4;90.0;0.0;17.61500000000001
2019-01-03 19:00:00;2019-01-03 20:00:00;658;365;50;61.04;0.0;61.04;11.04;788.4;90.0;0.0;11.039999999999964
2019-01-03 20:00:00;2019-01-03 21:00:00;658;365;47;59.08;0.0;59.08;12.079999999999998;788.4;90.0;0.0;12.080000000000041
2019-01-03 21:00:00;2019-01-03 22:00:00;658;365;40;58.912;0.0;58.912;18.912;788.4;90.0;0.0;18.912000000000035
2019-01-03 22:00:00;2019-01-03 23:00:00;658;365;35;59.318;0.0;59.318;24.317999999999998;788.4;90.0;0.0;24.317999999999984
2019-01-03 23:00:00;2019-01-04 00:00:00;658;365;28;59.654;0.0;59.654;31.654000000000003;788.4;90.0;0.0;31.653999999999996
2019-01-04 00:00:00;2019-01-04 01:00:00;658;365;30;61.278;0.0;61.278;31.278;788.4;90.0;0.0;31.27800000000002
2019-01-04 01:00:00;2019-01-04 02:00:00;658;365;30;62.748;0.0;62.748;32.748;788.4;90.0;0.0;32.74800000000005
2019-01-04 02:00:00;2019-01-04 03:00:00;658;365;30;63.136;0.0;63.136;33.136;788.4;90.0;0.0;33.13599999999997
2019-01-04 03:00:00;2019-01-04 04:00:00;658;365;30;62.538;0.0;62.538;32.538;788.4;90.0;0.0;32.53800000000001
