energy_15d_kWh;panel_count;window_end;window_start;method
439089.87794499996;250;2019-12-17;2019-12-03;multiply_by_count
449652.49657799996;250;2019-12-18;2019-12-04;multiply_by_count
460640.696315;250;2019-12-25;2019-12-11;multiply_by_count
460663.297937;250;2019-12-26;2019-12-12;multiply_by_count
461744.0562;250;2019-12-16;2019-12-02;multiply_by_count
509342.717945;290;2019-12-17;2019-12-03;multiply_by_count
521595.336578;290;2019-12-18;2019-12-04;multiply_by_count
534341.2963149999;290;2019-12-25;2019-12-11;multiply_by_count
534367.497937;290;2019-12-26;2019-12-12;multiply_by_count
535621.5762;290;2019-12-16;2019-12-02;multiply_by_count
614721.977945;350;2019-12-17;2019-12-03;multiply_by_count
629509.596578;350;2019-12-18;2019-12-04;multiply_by_count
644892.1963150001;350;2019-12-25;2019-12-11;multiply_by_count
644923.7979369999;350;2019-12-26;2019-12-12;multiply_by_count
646437.8562;350;2019-12-16;2019-12-02;multiply_by_count
1523.6977725862068;250;2019-12-17;2019-12-03;scale_from_290
1560.2388193793101;250;2019-12-18;2019-12-04;scale_from_290
1600.321315;250;2019-12-25;2019-12-11;scale_from_290
1600.5005232068963;250;2019-12-26;2019-12-12;scale_from_290
1601.7441310344827;250;2019-12-16;2019-12-02;scale_from_290
2129.3257036206896;350;2019-12-17;2019-12-03;scale_from_290
2180.4357159310343;350;2019-12-18;2019-12-04;scale_from_290
2235.671315;350;2019-12-25;2019-12-11;scale_from_290
2235.881557689655;350;2019-12-26;2019-12-12;scale_from_290
2238.619303448276;350;2019-12-16;2019-12-02;scale_from_290
