# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 42.772, 2.700 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Paris, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Paris", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "42.7719102", "lon": "2.6995277", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 01:00,0,0,0,5.570
2019-01-01 01:00,2019-01-01 02:00,0,0,0,5.329
2019-01-01 02:00,2019-01-01 03:00,0,0,0,4.947
2019-01-01 03:00,2019-01-01 04:00,0,0,0,4.507
2019-01-01 04:00,2019-01-01 05:00,0,0,0,4.142
2019-01-01 05:00,2019-01-01 06:00,0,0,0,3.965
2019-01-01 06:00,2019-01-01 07:00,0,0,0,3.746
2019-01-01 07:00,2019-01-01 08:00,0.029,0.039,0.012,3.720
2019-01-01 08:00,2019-01-01 09:00,0.267,0.262,0.053,5.270
2019-01-01 09:00,2019-01-01 10:00,0.442,0.457,0.072,7.346
2019-01-01 10:00,2019-01-01 11:00,0.545,0.587,0.081,8.898
2019-01-01 11:00,2019-01-01 12:00,0.586,0.645,0.086,10.032
2019-01-01 12:00,2019-01-01 13:00,0.574,0.630,0.085,10.566
2019-01-01 13:00,2019-01-01 14:00,0.505,0.541,0.079,10.536
2019-01-01 14:00,2019-01-01 15:00,0.379,0.390,0.067,9.765
2019-01-01 15:00,2019-01-01 16:00,0.175,0.173,0.042,8.044
2019-01-01 16:00,2019-01-01 17:00,0,0.004,0.002,5.824
2019-01-01 17:00,2019-01-01 18:00,0,0,0,4.484
2019-01-01 18:00,2019-01-01 19:00,0,0,0,3.769
2019-01-01 19:00,2019-01-01 20:00,0,0,0,3.231
2019-01-01 20:00,2019-01-01 21:00,0,0,0,2.822
2019-01-01 21:00,2019-01-01 22:00,0,0,0,2.493
2019-01-01 22:00,2019-01-01 23:00,0,0,0,2.300
2019-01-01 23:00,2019-01-02 00:00,0,0,0,2.310
2019-01-02 00:00,2019-01-02 01:00,0,0,0,2.392
2019-01-02 01:00,2019-01-02 02:00,0,0,0,2.744
2019-01-02 02:00,2019-01-02 03:00,0,0,0,3.058
2019-01-02 03:00,2019-01-02 04:00,0,0,0,3.093
2019-01-02 04:00,2019-01-02 05:00,0,0,0,3.057
2019-01-02 05:00,2019-01-02 06:00,0,0,0,2.988
2019-01-02 06:00,2019-01-02 07:00,0,0,0,2.938
2019-01-02 07:00,2019-01-02 08:00,0.034,0.046,0.012,2.917
2019-01-02 08:00,2019-01-02 09:00,0.291,0.292,0.049,3.809
2019-01-02 09:00,2019-01-02 10:00,0.475,0.501,0.063,5.021
2019-01-02 10:00,2019-01-02 11:00,0.585,0.645,0.070,6.352
2019-01-02 11:00,2019-01-02 12:00,0.642,0.729,0.070,7.491
2019-01-02 12:00,2019-01-02 13:00,0.620,0.699,0.071,7.965
2019-01-02 13:00,2019-01-02 14:00,0.578,0.650,0.060,7.917
2019-01-02 14:00,2019-01-02 15:00,0.456,0.497,0.050,7.409
2019-01-02 15:00,2019-01-02 16:00,0.228,0.238,0.035,6.254
2019-01-02 16:00,2019-01-02 17:00,0,0.005,0.002,4.684
2019-01-02 17:00,2019-01-02 18:00,0,0,0,3.917
2019-01-02 18:00,2019-01-02 19:00,0,0,0,3.431
2019-01-02 19:00,2019-01-02 20:00,0,0,0,2.907
2019-01-02 20:00,2019-01-02 21:00,0,0,0,2.389
2019-01-02 21:00,2019-01-02 22:00,0,0,0,1.829
2019-01-02 22:00,2019-01-02 23:00,0,0,0,1.318
2019-01-02 23:00,2019-01-03 00:00,0,0,0,0.960
2019-01-03 00:00,2019-01-03 01:00,0,0,0,0.737
2019-01-03 01:00,2019-01-03 02:00,0,0,0,0.559
2019-01-03 02:00,2019-01-03 03:00,0,0,0,0.392
2019-01-03 03:00,2019-01-03 04:00,0,0,0,0.333
2019-01-03 04:00,2019-01-03 05:00,0,0,0,0.285
2019-01-03 05:00,2019-01-03 06:00,0,0,0,0.261
2019-01-03 06:00,2019-01-03 07:00,0,0,0,0.146
2019-01-03 07:00,2019-01-03 08:00,0.052,0.066,0.011,0.337
2019-01-03 08:00,2019-01-03 09:00,0.358,0.377,0.039,2.284
2019-01-03 09:00,2019-01-03 10:00,0.542,0.600,0.048,4.403
2019-01-03 10:00,2019-01-03 11:00,0.645,0.744,0.054,6.148
2019-01-03 11:00,2019-01-03 12:00,0.687,0.808,0.057,7.275
2019-01-03 12:00,2019-01-03 13:00,0.671,0.787,0.057,7.862
2019-01-03 13:00,2019-01-03 14:00,0.598,0.685,0.054,7.914
2019-01-03 14:00,2019-01-03 15:00,0.457,0.500,0.048,7.366
2019-01-03 15:00,2019-01-03 16:00,0.227,0.236,0.035,5.726
2019-01-03 16:00,2019-01-03 17:00,0,0.006,0.002,2.903
2019-01-03 17:00,2019-01-03 18:00,0,0,0,2.240
2019-01-03 18:00,2019-01-03 19:00,0,0,0,2.134
2019-01-03 19:00,2019-01-03 20:00,0,0,0,1.639
2019-01-03 20:00,2019-01-03 21:00,0,0,0,1.274
2019-01-03 21:00,2019-01-03 22:00,0,0,0,1.034
2019-01-03 22:00,2019-01-03 23:00,0,0,0,0.780
