time_utc;date_heure_locale;irradiance_direct;irradiance_diffuse;irradiance_totale;puissance_panneau_kW;puissance_panneau_W
2019-01-01 00:00;2019-01-01 01:00;0;0;0;0;0
2019-01-01 01:00;2019-01-01 02:00;0;0;0;0;0
2019-01-01 02:00;2019-01-01 03:00;0;0;0;0;0
2019-01-01 03:00;2019-01-01 04:00;0;0;0;0;0
2019-01-01 04:00;2019-01-01 05:00;0;0;0;0;0
2019-01-01 05:00;2019-01-01 06:00;0;0;0;0;0
2019-01-01 06:00;2019-01-01 07:00;0;0;0;0;0
2019-01-01 07:00;2019-01-01 08:00;0.039;0.012;0.051;0.00918;9.18
2019-01-01 08:00;2019-01-01 09:00;0.262;0.053;0.315;0.0567;56.7
2019-01-01 09:00;2019-01-01 10:00;0.457;0.072;0.529;0.09522;95.22
2019-01-01 10:00;2019-01-01 11:00;0.587;0.081;0.668;0.12024;120.24
2019-01-01 11:00;2019-01-01 12:00;0.645;0.086;0.731;0.13158;131.58
2019-01-01 12:00;2019-01-01 13:00;0.63;0.085;0.715;0.1287;128.7
2019-01-01 13:00;2019-01-01 14:00;0.541;0.079;0.62;0.1116;111.6
2019-01-01 14:00;2019-01-01 15:00;0.39;0.067;0.457;0.08226;82.26
2019-01-01 15:00;2019-01-01 16:00;0.173;0.042;0.215;0.0387;38.7
2019-01-01 16:00;2019-01-01 17:00;0.004;0.002;0.006;0.00108;1.08
2019-01-01 17:00;2019-01-01 18:00;0;0;0;0;0
2019-01-01 18:00;2019-01-01 19:00;0;0;0;0;0
2019-01-01 19:00;2019-01-01 20:00;0;0;0;0;0
2019-01-01 20:00;2019-01-01 21:00;0;0;0;0;0
2019-01-01 21:00;2019-01-01 22:00;0;0;0;0;0
2019-01-01 22:00;2019-01-01 23:00;0;0;0;0;0
2019-01-01 23:00;2019-01-02 00:00;0;0;0;0;0
2019-01-02 00:00;2019-01-02 01:00;0;0;0;0;0
2019-01-02 01:00;2019-01-02 02:00;0;0;0;0;0
2019-01-02 02:00;2019-01-02 03:00;0;0;0;0;0
2019-01-02 03:00;2019-01-02 04:00;0;0;0;0;0
2019-01-02 04:00;2019-01-02 05:00;0;0;0;0;0
2019-01-02 05:00;2019-01-02 06:00;0;0;0;0;0
2019-01-02 06:00;2019-01-02 07:00;0;0;0;0;0
2019-01-02 07:00;2019-01-02 08:00;0.046;0.012;0.058;0.01044;10.44
2019-01-02 08:00;2019-01-02 09:00;0.292;0.049;0.341;0.06138;61.38
2019-01-02 09:00;2019-01-02 10:00;0.501;0.063;0.564;0.10152;101.52
2019-01-02 10:00;2019-01-02 11:00;0.645;0.07;0.715;0.1287;128.7
2019-01-02 11:00;2019-01-02 12:00;0.729;0.07;0.799;0.14382;143.82
2019-01-02 12:00;2019-01-02 13:00;0.699;0.071;0.77;0.1386;138.6
2019-01-02 13:00;2019-01-02 14:00;0.65;0.06;0.71;0.1278;127.8
2019-01-02 14:00;2019-01-02 15:00;0.497;0.05;0.547;0.09846;98.46
2019-01-02 15:00;2019-01-02 16:00;0.238;0.035;0.273;0.04914;49.14
