# Renewables.ninja Wind power (Point API) - 42.769, 2.802 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Paris, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Paris", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": "true", "header": "true", "lat": "42.768843868694944", "lon": "2.8020807336839515", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "100", "height": "60", "turbine": "Vestas V90 2000", "raw": "true"}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,49.797,8.151
2019-01-01 01:00,2019-01-01 02:00,52.781,8.378
2019-01-01 02:00,2019-01-01 03:00,51.580,8.288
2019-01-01 03:00,2019-01-01 04:00,47.251,7.975
2019-01-01 04:00,2019-01-01 05:00,44.862,7.802
2019-01-01 05:00,2019-01-01 06:00,42.944,7.652
2019-01-01 06:00,2019-01-01 07:00,39.232,7.385
2019-01-01 07:00,2019-01-01 08:00,37.356,7.241
2019-01-01 08:00,2019-01-01 09:00,32.512,6.870
2019-01-01 09:00,2019-01-01 10:00,29.940,6.668
2019-01-01 10:00,2019-01-01 11:00,28.892,6.588
2019-01-01 11:00,2019-01-01 12:00,28.450,6.554
2019-01-01 12:00,2019-01-01 13:00,28.892,6.588
2019-01-01 13:00,2019-01-01 14:00,30.248,6.698
2019-01-01 14:00,2019-01-01 15:00,31.632,6.810
2019-01-01 15:00,2019-01-01 16:00,31.483,6.798
2019-01-01 16:00,2019-01-01 17:00,36.583,7.186
2019-01-01 17:00,2019-01-01 18:00,44.701,7.784
2019-01-01 18:00,2019-01-01 19:00,50.459,8.208
2019-01-01 19:00,2019-01-01 20:00,55.728,8.596
2019-01-01 20:00,2019-01-01 21:00,60.184,8.935
2019-01-01 21:00,2019-01-01 22:00,64.583,9.284
2019-01-01 22:00,2019-01-01 23:00,68.959,9.647
2019-01-01 23:00,2019-01-02 00:00,71.257,9.861
2019-01-02 00:00,2019-01-02 01:00,73.419,10.065
2019-01-02 01:00,2019-01-02 02:00,75.497,10.272
2019-01-02 02:00,2019-01-02 03:00,76.158,10.332
2019-01-02 03:00,2019-01-02 04:00,79.740,10.733
2019-01-02 04:00,2019-01-02 05:00,82.039,11.014
2019-01-02 05:00,2019-01-02 06:00,82.019,11.009
2019-01-02 06:00,2019-01-02 07:00,81.336,10.931
2019-01-02 07:00,2019-01-02 08:00,81.838,10.987
2019-01-02 08:00,2019-01-02 09:00,84.854,11.400
2019-01-02 09:00,2019-01-02 10:00,84.516,11.350
2019-01-02 10:00,2019-01-02 11:00,83.291,11.187
2019-01-02 11:00,2019-01-02 12:00,83.098,11.150
2019-01-02 12:00,2019-01-02 13:00,83.294,11.188
2019-01-02 13:00,2019-01-02 14:00,82.877,11.120
2019-01-02 14:00,2019-01-02 15:00,80.846,10.865
2019-01-02 15:00,2019-01-02 16:00,78.825,10.631
2019-01-02 16:00,2019-01-02 17:00,79.570,10.717
2019-01-02 17:00,2019-01-02 18:00,79.371,10.694
2019-01-02 18:00,2019-01-02 19:00,77.643,10.489
2019-01-02 19:00,2019-01-02 20:00,75.880,10.312
2019-01-02 20:00,2019-01-02 21:00,75.319,10.254
2019-01-02 21:00,2019-01-02 22:00,72.425,9.965
2019-01-02 22:00,2019-01-02 23:00,67.788,9.553
2019-01-02 23:00,2019-01-03 00:00,63.716,9.214
2019-01-03 00:00,2019-01-03 01:00,60.343,8.947
2019-01-03 01:00,2019-01-03 02:00,57.376,8.711
2019-01-03 02:00,2019-01-03 03:00,54.637,8.508
2019-01-03 03:00,2019-01-03 04:00,52.194,8.325
2019-01-03 04:00,2019-01-03 05:00,49.748,8.148
2019-01-03 05:00,2019-01-03 06:00,49.384,8.123
2019-01-03 06:00,2019-01-03 07:00,48.213,8.042
2019-01-03 07:00,2019-01-03 08:00,47.364,7.982
2019-01-03 08:00,2019-01-03 09:00,42.229,7.603
2019-01-03 09:00,2019-01-03 10:00,39.444,7.395
2019-01-03 10:00,2019-01-03 11:00,43.370,7.693
2019-01-03 11:00,2019-01-03 12:00,42.342,7.614
2019-01-03 12:00,2019-01-03 13:00,41.958,7.588
2019-01-03 13:00,2019-01-03 14:00,42.114,7.596
2019-01-03 14:00,2019-01-03 15:00,40.453,7.480
2019-01-03 15:00,2019-01-03 16:00,37.762,7.275
2019-01-03 16:00,2019-01-03 17:00,43.189,7.674
2019-01-03 17:00,2019-01-03 18:00,49.384,8.121
2019-01-03 18:00,2019-01-03 19:00,48.975,8.095
2019-01-03 19:00,2019-01-03 20:00,45.680,7.860
2019-01-03 20:00,2019-01-03 21:00,43.739,7.720
2019-01-03 21:00,2019-01-03 22:00,43.574,7.708
2019-01-03 22:00,2019-01-03 23:00,44.077,7.737
2019-01-03 23:00,2019-01-04 00:00,44.425,7.761
2019-01-04 00:00,2019-01-04 01:00,45.941,7.877
2019-01-04 01:00,2019-01-04 02:00,47.388,7.982
2019-01-04 02:00,2019-01-04 03:00,47.808,8.008
2019-01-04 03:00,2019-01-04 04:00,47.143,7.967
2019-01-04 04:00,2019-01-04 05:00,46.721,7.936
2019-01-04 05:00,2019-01-04 06:00,46.547,7.917
2019-01-04 06:00,2019-01-04 07:00,44.680,7.779
2019-01-04 07:00,2019-01-04 08:00,41.813,7.575
2019-01-04 08:00,2019-01-04 09:00,32.772,6.894
2019-01-04 09:00,2019-01-04 10:00,27.539,6.474
2019-01-04 10:00,2019-01-04 11:00,29.678,6.654
2019-01-04 11:00,2019-01-04 12:00,29.167,6.611
2019-01-04 12:00,2019-01-04 13:00,28.038,6.520
2019-01-04 13:00,2019-01-04 14:00,27.291,6.454
2019-01-04 14:00,2019-01-04 15:00,25.189,6.278
2019-01-04 15:00,2019-01-04 16:00,24.526,6.215
2019-01-04 16:00,2019-01-04 17:00,29.995,6.671
2019-01-04 17:00,2019-01-04 18:00,35.765,7.124
2019-01-04 18:00,2019-01-04 19:00,37.413,7.252
2019-01-04 19:00,2019-01-04 20:00,38.796,7.349
2019-01-04 20:00,2019-01-04 21:00,39.435,7.395
2019-01-04 21:00,2019-01-04 22:00,40.048,7.440
2019-01-04 22:00,2019-01-04 23:00,43.257,7.685
2019-01-04 23:00,2019-01-05 00:00,46.353,7.901
2019-01-05 00:00,2019-01-05 01:00,50.384,8.203
2019-01-05 01:00,2019-01-05 02:00,54.033,8.470
2019-01-05 02:00,2019-01-05 03:00,58.954,8.834
2019-01-05 03:00,2019-01-05 04:00,62.335,9.104
2019-01-05 04:00,2019-01-05 05:00,66.816,9.468
2019-01-05 05:00,2019-01-05 06:00,70.033,9.748
2019-01-05 06:00,2019-01-05 07:00,69.701,9.712
2019-01-05 07:00,2019-01-05 08:00,69.348,9.684
2019-01-05 08:00,2019-01-05 09:00,67.743,9.549
2019-01-05 09:00,2019-01-05 10:00,73.393,10.063
2019-01-05 10:00,2019-01-05 11:00,77.190,10.448
2019-01-05 11:00,2019-01-05 12:00,78.941,10.642
2019-01-05 12:00,2019-01-05 13:00,81.646,10.970
2019-01-05 13:00,2019-01-05 14:00,83.415,11.204
2019-01-05 14:00,2019-01-05 15:00,83.795,11.253
2019-01-05 15:00,2019-01-05 16:00,84.991,11.431
2019-01-05 16:00,2019-01-05 17:00,86.585,11.672
2019-01-05 17:00,2019-01-05 18:00,87.338,11.808
2019-01-05 18:00,2019-01-05 19:00,87.318,11.805
2019-01-05 19:00,2019-01-05 20:00,86.460,11.655
2019-01-05 20:00,2019-01-05 21:00,87.243,11.792
2019-01-05 21:00,2019-01-05 22:00,88.144,11.940
2019-01-05 22:00,2019-01-05 23:00,88.964,12.104
2019-01-05 23:00,2019-01-06 00:00,89.735,12.256
2019-01-06 00:00,2019-01-06 01:00,89.628,12.235
2019-01-06 01:00,2019-01-06 02:00,89.361,12.171
2019-01-06 02:00,2019-01-06 03:00,88.633,12.034
2019-01-06 03:00,2019-01-06 04:00,87.639,11.860
2019-01-06 04:00,2019-01-06 05:00,86.634,11.689
2019-01-06 05:00,2019-01-06 06:00,84.664,11.382
2019-01-06 06:00,2019-01-06 07:00,83.411,11.204
2019-01-06 07:00,2019-01-06 08:00,83.413,11.204
2019-01-06 08:00,2019-01-06 09:00,83.089,11.149
2019-01-06 09:00,2019-01-06 10:00,83.538,11.221
2019-01-06 10:00,2019-01-06 11:00,85.344,11.482
2019-01-06 11:00,2019-01-06 12:00,87.611,11.856
2019-01-06 12:00,2019-01-06 13:00,89.090,12.128
2019-01-06 13:00,2019-01-06 14:00,89.557,12.216
2019-01-06 14:00,2019-01-06 15:00,88.248,11.970
2019-01-06 15:00,2019-01-06 16:00,85.643,11.525
2019-01-06 16:00,2019-01-06 17:00,83.420,11.205
2019-01-06 17:00,2019-01-06 18:00,82.085,11.027
2019-01-06 18:00,2019-01-06 19:00,81.107,10.891
2019-01-06 19:00,2019-01-06 20:00,81.175,10.901
2019-01-06 20:00,2019-01-06 21:00,80.768,10.854
2019-01-06 21:00,2019-01-06 22:00,80.118,10.782
2019-01-06 22:00,2019-01-06 23:00,79.245,10.679
2019-01-06 23:00,2019-01-07 00:00,79.178,10.672
2019-01-07 00:00,2019-01-07 01:00,79.174,10.671
