"date_heure","wind_speed_m_s","power_kW_calculated"
"2019-01-01 01:00","8.151","65.567"
"2019-01-01 02:00","8.378","69.426"
"2019-01-01 03:00","8.288","67.896"
"2019-01-01 04:00","7.975","62.650"
"2019-01-01 05:00","7.802","60.228"
"2019-01-01 06:00","7.652","58.128"
"2019-01-01 07:00","7.385","54.390"
"2019-01-01 08:00","7.241","52.374"
"2019-01-01 09:00","6.870","47.050"
"2019-01-01 10:00","6.668","44.020"
"2019-01-01 11:00","6.588","42.820"
"2019-01-01 12:00","6.554","42.310"
"2019-01-01 13:00","6.588","42.820"
"2019-01-01 14:00","6.698","44.470"
"2019-01-01 15:00","6.810","46.150"
"2019-01-01 16:00","6.798","45.970"
"2019-01-01 17:00","7.186","51.604"
"2019-01-01 18:00","7.784","59.976"
"2019-01-01 19:00","8.208","66.536"
"2019-01-01 20:00","8.596","73.132"
"2019-01-01 21:00","8.935","78.895"
"2019-01-01 22:00","9.284","85.680"
"2019-01-01 23:00","9.647","92.940"
"2019-01-02 00:00","9.861","97.220"
"2019-01-02 01:00","10.065","100.000"
"2019-01-02 02:00","10.272","100.000"
"2019-01-02 03:00","10.332","100.000"
"2019-01-02 04:00","10.733","100.000"
"2019-01-02 05:00","11.014","100.000"
"2019-01-02 06:00","11.009","100.000"
"2019-01-02 07:00","10.931","100.000"
"2019-01-02 08:00","10.987","100.000"
"2019-01-02 09:00","11.400","100.000"
"2019-01-02 10:00","11.350","100.000"
"2019-01-02 11:00","11.187","100.000"
"2019-01-02 12:00","11.150","100.000"
"2019-01-02 13:00","11.188","100.000"
"2019-01-02 14:00","11.120","100.000"
"2019-01-02 15:00","10.865","100.000"
"2019-01-02 16:00","10.631","100.000"
"2019-01-02 17:00","10.717","100.000"
"2019-01-02 18:00","10.694","100.000"
"2019-01-02 19:00","10.489","100.000"
"2019-01-02 20:00","10.312","100.000"
"2019-01-02 21:00","10.254","100.000"
"2019-01-02 22:00","9.965","99.300"
"2019-01-02 23:00","9.553","91.060"
"2019-01-03 00:00","9.214","84.280"
"2019-01-03 01:00","8.947","79.099"
"2019-01-03 02:00","8.711","75.087"
"2019-01-03 03:00","8.508","71.636"
"2019-01-03 04:00","8.325","68.525"
"2019-01-03 05:00","8.148","65.516"
"2019-01-03 06:00","8.123","65.091"
"2019-01-03 07:00","8.042","63.714"
"2019-01-03 08:00","7.982","62.748"
"2019-01-03 09:00","7.603","57.442"
"2019-01-03 10:00","7.395","54.530"
"2019-01-03 11:00","7.693","58.702"
"2019-01-03 12:00","7.614","57.596"
"2019-01-03 13:00","7.588","57.232"
"2019-01-03 14:00","7.596","57.344"
"2019-01-03 15:00","7.480","55.720"
"2019-01-03 16:00","7.275","52.850"
"2019-01-03 17:00","7.674","58.436"
"2019-01-03 18:00","8.121","65.057"
"2019-01-03 19:00","8.095","64.615"
"2019-01-03 20:00","7.860","61.040"
"2019-01-03 21:00","7.720","59.080"
"2019-01-03 22:00","7.708","58.912"
"2019-01-03 23:00","7.737","59.318"
"2019-01-04 00:00","7.761","59.654"
"2019-01-04 01:00","7.877","61.278"
"2019-01-04 02:00","7.982","62.748"
"2019-01-04 03:00","8.008","63.136"
"2019-01-04 04:00","7.967","62.538"
"2019-01-04 05:00","7.936","62.104"
"2019-01-04 06:00","7.917","61.838"
"2019-01-04 07:00","7.779","59.906"
"2019-01-04 08:00","7.575","57.050"
"2019-01-04 09:00","6.894","47.410"
"2019-01-04 10:00","6.474","41.110"
"2019-01-04 11:00","6.654","43.810"
"2019-01-04 12:00","6.611","43.165"
"2019-01-04 13:00","6.520","41.800"
"2019-01-04 14:00","6.454","40.810"
"2019-01-04 15:00","6.278","38.170"
"2019-01-04 16:00","6.215","37.225"
"2019-01-04 17:00","6.671","44.065"
"2019-01-04 18:00","7.124","50.736"
"2019-01-04 19:00","7.252","52.528"
"2019-01-04 20:00","7.349","53.886"
"2019-01-04 21:00","7.395","54.530"
"2019-01-04 22:00","7.440","55.160"
"2019-01-04 23:00","7.685","58.590"
"2019-01-05 00:00","7.901","61.614"
"2019-01-05 01:00","8.203","66.451"
"2019-01-05 02:00","8.470","70.990"
"2019-01-05 03:00","8.834","77.178"
"2019-01-05 04:00","9.104","82.080"
"2019-01-05 05:00","9.468","89.360"
"2019-01-05 06:00","9.748","94.960"
"2019-01-05 07:00","9.712","94.240"
"2019-01-05 08:00","9.684","93.680"
"2019-01-05 09:00","9.549","90.980"
"2019-01-05 10:00","10.063","100.000"
"2019-01-05 11:00","10.448","100.000"
"2019-01-05 12:00","10.642","100.000"
"2019-01-05 13:00","10.970","100.000"
"2019-01-05 14:00","11.204","100.000"
"2019-01-05 15:00","11.253","100.000"
"2019-01-05 16:00","11.431","100.000"
"2019-01-05 17:00","11.672","100.000"
"2019-01-05 18:00","11.808","100.000"
"2019-01-05 19:00","11.805","100.000"
"2019-01-05 20:00","11.655","100.000"
"2019-01-05 21:00","11.792","100.000"
"2019-01-05 22:00","11.940","100.000"
"2019-01-05 23:00","12.104","100.000"
"2019-01-06 00:00","12.256","100.000"
"2019-01-06 01:00","12.235","100.000"
"2019-01-06 02:00","12.171","100.000"
"2019-01-06 03:00","12.034","100.000"
"2019-01-06 04:00","11.860","100.000"
"2019-01-06 05:00","11.689","100.000"
"2019-01-06 06:00","11.382","100.000"
"2019-01-06 07:00","11.204","100.000"
"2019-01-06 08:00","11.204","100.000"
"2019-01-06 09:00","11.149","100.000"
"2019-01-06 10:00","11.221","100.000"
"2019-01-06 11:00","11.482","100.000"
"2019-01-06 12:00","11.856","100.000"
"2019-01-06 13:00","12.128","100.000"
"2019-01-06 14:00","12.216","100.000"
"2019-01-06 15:00","11.970","100.000"
"2019-01-06 16:00","11.525","100.000"
"2019-01-06 17:00","11.205","100.000"
"2019-01-06 18:00","11.027","100.000"
"2019-01-06 19:00","10.891","100.000"
"2019-01-06 20:00","10.901","100.000"
"2019-01-06 21:00","10.854","100.000"
"2019-01-06 22:00","10.782","100.000"
"2019-01-06 23:00","10.679","100.000"
"2019-01-07 00:00","10.672","100.000"
"2019-01-07 01:00","10.671","100.000"
"2019-01-07 02:00","10.641","100.000"
"2019-01-07 03:00","10.609","100.000"
"2019-01-07 04:00","10.575","100.000"
"2019-01-07 05:00","10.498","100.000"
"2019-01-07 06:00","10.420","100.000"
"2019-01-07 07:00","10.367","100.000"
"2019-01-07 08:00","10.330","100.000"
"2019-01-07 09:00","10.228","100.000"
"2019-01-07 10:00","10.598","100.000"
"2019-01-07 11:00","10.880","100.000"
"2019-01-07 12:00","10.852","100.000"
"2019-01-07 13:00","10.876","100.000"
"2019-01-07 14:00","10.915","100.000"
"2019-01-07 15:00","10.778","100.000"
"2019-01-07 16:00","10.401","100.000"
"2019-01-07 17:00","10.330","100.000"
